반납일자,반납확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,운용부서,물품상태,사유
2021-04-06,2021-04-09,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800104,2018-12-13,11924000,총무팀,폐품,사용연한경과
2024-05-25,2024-05-28,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800105,2018-12-13,11924000,총무팀,중고품,불용결정
2025-07-25,2025-07-28,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800164,2018-11-11,17883000,입학처,중고품,불용결정
2021-09-08,2021-09-11,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800165,2018-11-11,17883000,입학처,폐품,사용연한경과
2020-02-06,2020-02-09,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800166,2018-11-11,17883000,입학처,중고품,불용결정
2022-10-21,2022-10-24,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800167,2018-11-11,17883000,입학처,폐품,사용연한경과
2024-02-12,2024-02-15,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800168,2018-11-11,17883000,입학처,정비필요품,고장/파손
2025-11-22,,badbergjr,박대리,대기,4321150323456782,고성능 데스크탑 (Workstation),M111800169,2018-11-11,17883000,입학처,폐품,사용연한경과
2024-08-10,2024-08-13,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800171,2018-11-11,17883000,입학처,폐품,사용연한경과
2024-01-27,,badbergjr,박대리,대기,4321150723456783,행정용 데스크탑 (Standard),M111900172,2019-07-03,4474000,입학처,폐품,사용연한경과
2024-01-28,2024-01-31,badbergjr,박대리,확정,4321150723456783,행정용 데스크탑 (Standard),M111900173,2019-07-03,4474000,입학처,중고품,사업종료
2020-08-18,2020-08-21,badbergjr,박대리,확정,4321150723456783,행정용 데스크탑 (Standard),M111900175,2019-07-03,4474000,입학처,중고품,불용결정
2025-08-24,2025-08-27,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500177,2015-10-02,6952000,공과대학,중고품,잉여물품
2022-06-26,2022-06-29,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500178,2015-10-02,6952000,공과대학,중고품,불용결정
2018-10-26,2018-10-29,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500180,2015-10-02,6952000,공과대학,중고품,불용결정
2024-05-06,2024-05-09,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500183,2015-10-02,6952000,공과대학,폐품,사용연한경과
2023-08-28,,badbergjr,박대리,대기,5610151923456789,강의실 2인용 책상,M111500184,2015-10-02,6952000,공과대학,폐품,사용연한경과
2025-05-29,2025-06-01,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500185,2015-10-02,6952000,공과대학,폐품,사용연한경과
2017-08-26,,badbergjr,박대리,대기,5610151923456789,강의실 2인용 책상,M111500189,2015-10-02,6952000,공과대학,정비필요품,고장/파손
2020-09-04,2020-09-07,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500190,2015-10-02,6952000,공과대학,폐품,사용연한경과
2024-04-17,2024-04-20,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500192,2015-10-02,6952000,공과대학,폐품,사용연한경과
2017-07-06,2017-07-09,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500196,2015-10-02,6952000,공과대학,중고품,불용결정
2022-11-20,2022-11-23,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500197,2015-10-02,6952000,공과대학,중고품,불용결정
2023-12-06,2023-12-09,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500201,2015-10-02,6952000,공과대학,정비필요품,고장/파손
2016-12-17,2016-12-20,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500202,2015-10-02,6952000,공과대학,폐품,사용연한경과
2018-02-26,2018-03-01,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500204,2015-10-02,6952000,공과대학,정비필요품,고장/파손
2021-03-22,2021-03-25,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500205,2015-10-02,6952000,공과대학,폐품,사용연한경과
2020-10-26,2020-10-29,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500207,2015-10-02,6952000,공과대학,정비필요품,고장/파손
2024-12-02,2024-12-05,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500208,2015-10-02,6952000,공과대학,중고품,사업종료
2026-01-20,2026-01-23,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500211,2015-10-02,6952000,공과대학,폐품,사용연한경과
2018-12-14,2018-12-17,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500214,2015-10-02,6952000,공과대학,중고품,불용결정
2020-02-16,2020-02-19,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500215,2015-10-02,6952000,공과대학,폐품,사용연한경과
2023-11-09,2023-11-12,badbergjr,박대리,확정,5610151923456789,강의실 2인용 책상,M111500216,2015-10-02,6952000,공과대학,중고품,사업종료
2021-11-23,,badbergjr,박대리,대기,5610151923456789,강의실 2인용 책상,M111500218,2015-10-02,6952000,공과대학,중고품,사업종료
2021-04-26,2021-04-29,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600227,2016-01-19,8897000,인문대학,중고품,사업종료
2021-09-10,2021-09-13,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600229,2016-01-19,8897000,인문대학,정비필요품,고장/파손
2019-05-28,2019-05-31,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600233,2016-01-19,8897000,인문대학,중고품,불용결정
2021-12-15,2021-12-18,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600234,2016-01-19,8897000,인문대학,정비필요품,고장/파손
2024-12-23,,badbergjr,박대리,대기,5610170323456787,사무용 책상 (1400mm),M111600235,2016-01-19,8897000,인문대학,정비필요품,고장/파손
2024-11-29,2024-12-02,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600236,2016-01-19,8897000,인문대학,중고품,잉여물품
2021-03-27,2021-03-30,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600237,2016-01-19,8897000,인문대학,중고품,사업종료
2018-05-12,2018-05-15,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600238,2016-01-19,8897000,인문대학,중고품,불용결정
2019-02-16,2019-02-19,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600239,2016-01-19,8897000,인문대학,폐품,사용연한경과
2020-09-26,2020-09-29,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600241,2016-01-19,8897000,인문대학,중고품,불용결정
2020-07-04,2020-07-07,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600244,2016-01-19,8897000,인문대학,중고품,사업종료
2021-08-03,2021-08-06,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600245,2016-01-19,8897000,인문대학,폐품,사용연한경과
2017-07-26,,badbergjr,박대리,반려,5610170323456787,사무용 책상 (1400mm),M111600246,2016-01-19,8897000,인문대학,정비필요품,고장/파손
2024-08-09,2024-08-12,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600247,2016-01-19,8897000,인문대학,중고품,불용결정
2022-03-24,2022-03-27,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600248,2016-01-19,8897000,인문대학,중고품,사업종료
2019-06-26,2019-06-29,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600249,2016-01-19,8897000,인문대학,중고품,불용결정
2017-08-06,2017-08-09,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600250,2016-01-19,8897000,인문대학,폐품,사용연한경과
2018-04-08,2018-04-11,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600251,2016-01-19,8897000,인문대학,중고품,불용결정
2020-03-21,2020-03-24,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600252,2016-01-19,8897000,인문대학,폐품,사용연한경과
2025-12-21,2025-12-24,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600253,2016-01-19,8897000,인문대학,중고품,잉여물품
2025-07-18,2025-07-21,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600254,2016-01-19,8897000,인문대학,정비필요품,고장/파손
2025-08-02,2025-08-05,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600258,2016-01-19,8897000,인문대학,폐품,사용연한경과
2025-02-15,2025-02-18,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600259,2016-01-19,8897000,인문대학,폐품,사용연한경과
2021-10-16,2021-10-19,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600260,2016-01-19,8897000,인문대학,폐품,사용연한경과
2024-04-04,2024-04-07,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M112200351,2022-07-12,3394000,인문대학,폐품,사용연한경과
2025-12-01,2025-12-04,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M112200353,2022-07-12,3394000,인문대학,폐품,사용연한경과
2025-12-06,2025-12-09,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M112200356,2022-07-12,3394000,인문대학,정비필요품,고장/파손
2024-06-17,2024-06-20,badbergjr,박대리,확정,4511160123456786,강의실 빔프로젝터,M111800359,2018-06-01,3709000,인문대학,폐품,사용연한경과
2023-06-04,,badbergjr,박대리,대기,4321150723456783,행정용 데스크탑 (Standard),M111600366,2016-03-31,6527000,경영대학,중고품,불용결정
2017-08-15,2017-08-18,badbergjr,박대리,확정,4321150723456783,행정용 데스크탑 (Standard),M111600367,2016-03-31,6527000,경영대학,정비필요품,고장/파손
2025-01-10,2025-01-13,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112200387,2022-04-26,1426000,입학처,중고품,불용결정
2025-11-22,2025-11-25,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112200388,2022-04-26,1426000,입학처,중고품,불용결정
2024-12-01,,badbergjr,박대리,대기,5611210223456788,매쉬 의자 (Standard),M112200390,2022-04-26,1426000,입학처,중고품,사업종료
2018-01-19,2018-01-22,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M111600392,2016-02-02,2585000,인문대학,정비필요품,고장/파손
2020-11-18,2020-11-21,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M111600393,2016-02-02,2585000,인문대학,중고품,불용결정
2021-01-21,2021-01-24,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M111600394,2016-02-02,2585000,인문대학,중고품,잉여물품
2017-07-13,2017-07-16,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M111600395,2016-02-02,2585000,인문대학,중고품,잉여물품
2017-04-09,2017-04-12,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M111600398,2016-02-02,2585000,인문대학,폐품,사용연한경과
2025-03-06,2025-03-09,badbergjr,박대리,확정,4410160123456790,복합기 (컬러 레이저),M112200399,2022-04-14,2864000,시설팀,폐품,사용연한경과
2024-08-31,2024-09-03,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112000401,2020-04-04,1208000,소프트웨어융합대학,폐품,사용연한경과
2022-04-11,2022-04-14,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112000402,2020-04-04,1208000,소프트웨어융합대학,중고품,잉여물품
2021-08-27,2021-08-30,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112000403,2020-04-04,1208000,소프트웨어융합대학,정비필요품,고장/파손
2022-03-04,2022-03-07,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112000404,2020-04-04,1208000,소프트웨어융합대학,폐품,사용연한경과
2021-12-21,,badbergjr,박대리,대기,5611210223456788,매쉬 의자 (Standard),M112000405,2020-04-04,1208000,소프트웨어융합대학,중고품,사업종료
2024-08-29,2024-09-01,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112000406,2020-04-04,1208000,소프트웨어융합대학,폐품,사용연한경과
2020-07-29,2020-08-01,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800409,2018-09-29,9250000,총무팀,폐품,사용연한경과
2020-11-16,2020-11-19,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800411,2018-09-29,9250000,총무팀,정비필요품,고장/파손
2020-12-21,2020-12-24,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800412,2018-09-29,9250000,총무팀,정비필요품,고장/파손
2025-10-20,2025-10-23,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800413,2018-09-29,9250000,총무팀,폐품,사용연한경과
2021-07-14,2021-07-17,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800417,2018-09-29,9250000,총무팀,폐품,사용연한경과
2020-09-14,2020-09-17,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800418,2018-09-29,9250000,총무팀,정비필요품,고장/파손
2024-03-04,2024-03-07,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800419,2018-09-29,9250000,총무팀,중고품,불용결정
2022-01-07,2022-01-10,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800421,2018-09-29,9250000,총무팀,정비필요품,고장/파손
2022-02-04,2022-02-07,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800422,2018-09-29,9250000,총무팀,폐품,사용연한경과
2020-08-19,2020-08-22,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800424,2018-09-29,9250000,총무팀,중고품,불용결정
2022-02-24,2022-02-27,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800427,2018-09-29,9250000,총무팀,중고품,불용결정
2023-12-11,2023-12-14,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800429,2018-09-29,9250000,총무팀,정비필요품,고장/파손
2021-04-28,2021-05-01,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800433,2018-09-29,9250000,총무팀,중고품,사업종료
2023-08-30,2023-09-02,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800436,2018-09-29,9250000,총무팀,중고품,불용결정
2024-05-17,2024-05-20,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800437,2018-09-29,9250000,총무팀,폐품,사용연한경과
2025-06-26,2025-06-29,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800439,2018-09-29,9250000,총무팀,중고품,불용결정
2022-06-22,2022-06-25,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800440,2018-09-29,9250000,총무팀,폐품,사용연한경과
2024-06-01,2024-06-04,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800441,2018-09-29,9250000,총무팀,폐품,사용연한경과
2021-06-15,2021-06-18,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800443,2018-09-29,9250000,총무팀,정비필요품,고장/파손
2023-06-22,2023-06-25,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800444,2018-09-29,9250000,총무팀,폐품,사용연한경과
2022-11-21,2022-11-24,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800445,2018-09-29,9250000,총무팀,중고품,불용결정
2023-07-28,2023-07-31,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111800446,2018-09-29,9250000,총무팀,중고품,불용결정
2018-08-21,2018-08-24,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700447,2017-02-18,8261000,중앙도서관,중고품,잉여물품
2021-10-22,2021-10-25,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700448,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2025-08-10,2025-08-13,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700449,2017-02-18,8261000,중앙도서관,중고품,잉여물품
2021-08-03,2021-08-06,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700450,2017-02-18,8261000,중앙도서관,중고품,사업종료
2023-12-01,2023-12-04,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700451,2017-02-18,8261000,중앙도서관,정비필요품,고장/파손
2019-08-23,2019-08-26,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700452,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2021-03-20,2021-03-23,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700454,2017-02-18,8261000,중앙도서관,중고품,사업종료
2024-02-29,2024-03-03,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700457,2017-02-18,8261000,중앙도서관,정비필요품,고장/파손
2019-04-25,2019-04-28,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700458,2017-02-18,8261000,중앙도서관,중고품,사업종료
2024-01-25,2024-01-28,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700459,2017-02-18,8261000,중앙도서관,중고품,잉여물품
2024-10-10,2024-10-13,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700460,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2020-04-28,2020-05-01,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700462,2017-02-18,8261000,중앙도서관,중고품,잉여물품
2021-08-24,,badbergjr,박대리,대기,5611210223456788,매쉬 의자 (Standard),M111700464,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2025-05-10,2025-05-13,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700466,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2019-07-09,2019-07-12,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700468,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2025-01-04,,badbergjr,박대리,대기,5611210223456788,매쉬 의자 (Standard),M111700469,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2020-01-06,2020-01-09,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700470,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2021-04-08,2021-04-11,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700471,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2018-03-02,2018-03-05,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700472,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2022-12-17,2022-12-20,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700473,2017-02-18,8261000,중앙도서관,정비필요품,고장/파손
2020-05-11,2020-05-14,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700476,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2024-11-29,2024-12-02,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700477,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2023-02-17,2023-02-20,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700478,2017-02-18,8261000,중앙도서관,정비필요품,고장/파손
2020-11-18,2020-11-21,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700481,2017-02-18,8261000,중앙도서관,정비필요품,고장/파손
2018-08-04,2018-08-07,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700482,2017-02-18,8261000,중앙도서관,정비필요품,고장/파손
2022-02-16,2022-02-19,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700486,2017-02-18,8261000,중앙도서관,정비필요품,고장/파손
2026-01-10,2026-01-13,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700487,2017-02-18,8261000,중앙도서관,중고품,불용결정
2018-11-27,2018-11-30,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M111700488,2017-02-18,8261000,중앙도서관,폐품,사용연한경과
2025-03-05,2025-03-08,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M112100492,2021-07-29,3698000,소프트웨어융합대학,중고품,불용결정
2025-05-25,2025-05-28,badbergjr,박대리,확정,4321190223456784,27인치 모니터,M112100493,2021-07-29,3698000,소프트웨어융합대학,폐품,사용연한경과
2024-05-12,2024-05-15,badbergjr,박대리,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112200499,2022-04-21,12601000,소프트웨어융합대학,중고품,불용결정
2025-03-30,,badbergjr,박대리,대기,4321150323456781,업무용 노트북 (Galaxy Book),M112200502,2022-04-21,12601000,소프트웨어융합대학,폐품,사용연한경과
2024-10-23,2024-10-26,badbergjr,박대리,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112200506,2022-04-21,12601000,소프트웨어융합대학,정비필요품,고장/파손
2021-06-21,2021-06-24,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600518,2016-02-03,5242000,경영대학,폐품,사용연한경과
2017-12-05,2017-12-08,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600520,2016-02-03,5242000,경영대학,정비필요품,고장/파손
2018-10-22,2018-10-25,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600521,2016-02-03,5242000,경영대학,폐품,사용연한경과
2020-01-10,2020-01-13,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600523,2016-02-03,5242000,경영대학,폐품,사용연한경과
2019-07-30,2019-08-02,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600524,2016-02-03,5242000,경영대학,폐품,사용연한경과
2022-03-01,2022-03-04,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600526,2016-02-03,5242000,경영대학,중고품,불용결정
2017-03-03,2017-03-06,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600527,2016-02-03,5242000,경영대학,폐품,사용연한경과
2020-09-20,2020-09-23,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600528,2016-02-03,5242000,경영대학,폐품,사용연한경과
2019-08-09,2019-08-12,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600529,2016-02-03,5242000,경영대학,폐품,사용연한경과
2020-10-11,2020-10-14,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600530,2016-02-03,5242000,경영대학,폐품,사용연한경과
2025-01-02,2025-01-05,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600531,2016-02-03,5242000,경영대학,폐품,사용연한경과
2018-12-17,2018-12-20,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600533,2016-02-03,5242000,경영대학,중고품,사업종료
2021-02-21,2021-02-24,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600534,2016-02-03,5242000,경영대학,정비필요품,고장/파손
2021-12-11,2021-12-14,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600535,2016-02-03,5242000,경영대학,폐품,사용연한경과
2024-03-22,2024-03-25,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600536,2016-02-03,5242000,경영대학,폐품,사용연한경과
2020-02-01,,badbergjr,박대리,대기,5610170323456787,사무용 책상 (1400mm),M111600537,2016-02-03,5242000,경영대학,중고품,불용결정
2025-04-30,2025-05-03,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600538,2016-02-03,5242000,경영대학,폐품,사용연한경과
2021-02-19,2021-02-22,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600539,2016-02-03,5242000,경영대학,폐품,사용연한경과
2018-06-01,2018-06-04,badbergjr,박대리,확정,5610170323456787,사무용 책상 (1400mm),M111600540,2016-02-03,5242000,경영대학,중고품,불용결정
2026-01-01,2026-01-04,badbergjr,박대리,확정,4511160123456786,강의실 빔프로젝터,M111500577,2015-07-13,13375000,공과대학,중고품,불용결정
2021-07-30,2021-08-02,badbergjr,박대리,확정,4511160123456786,강의실 빔프로젝터,M111500578,2015-07-13,13375000,공과대학,중고품,불용결정
2023-10-03,2023-10-06,badbergjr,박대리,확정,4511160123456786,강의실 빔프로젝터,M111500579,2015-07-13,13375000,공과대학,중고품,사업종료
2022-12-29,2023-01-01,badbergjr,박대리,확정,4511160123456786,강의실 빔프로젝터,M111500582,2015-07-13,13375000,공과대학,정비필요품,고장/파손
2021-06-14,2021-06-17,badbergjr,박대리,확정,4511160123456786,강의실 빔프로젝터,M111500583,2015-07-13,13375000,공과대학,폐품,사용연한경과
2024-03-10,2024-03-13,badbergjr,박대리,확정,4511160123456786,강의실 빔프로젝터,M111500584,2015-07-13,13375000,공과대학,폐품,사용연한경과
2021-03-23,2021-03-26,badbergjr,박대리,확정,4410160123456790,복합기 (컬러 레이저),M111500586,2015-12-17,5433000,중앙도서관,중고품,잉여물품
2024-06-06,2024-06-09,badbergjr,박대리,확정,4321150723456783,행정용 데스크탑 (Standard),M111900587,2019-10-18,1204000,입학처,중고품,불용결정
2024-07-03,,badbergjr,박대리,대기,4410160123456790,복합기 (컬러 레이저),M112000588,2020-04-11,27778000,중앙도서관,폐품,사용연한경과
