처분일자,정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유
2024-01-28,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500216,2015-10-02,6952000,매각,중고품,사업종료
2021-12-31,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600229,2016-01-19,8897000,폐기,정비필요품,고장/파손
2019-12-10,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600233,2016-01-19,8897000,매각,중고품,불용결정
2021-06-16,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600237,2016-01-19,8897000,매각,중고품,사업종료
2018-12-01,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600238,2016-01-19,8897000,매각,중고품,불용결정
2021-01-26,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600241,2016-01-19,8897000,매각,중고품,불용결정
2020-10-05,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600244,2016-01-19,8897000,매각,중고품,사업종료
2024-12-25,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600247,2016-01-19,8897000,매각,중고품,불용결정
2022-11-04,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600248,2016-01-19,8897000,매각,중고품,사업종료
2019-09-26,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600249,2016-01-19,8897000,매각,중고품,불용결정
2018-04-03,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600250,2016-01-19,8897000,폐기,폐품,사용연한경과
2020-07-06,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600252,2016-01-19,8897000,폐기,폐품,사용연한경과
2025-12-07,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600254,2016-01-19,8897000,폐기,정비필요품,고장/파손
2025-10-31,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600258,2016-01-19,8897000,폐기,폐품,사용연한경과
2025-05-17,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600259,2016-01-19,8897000,폐기,폐품,사용연한경과
2022-01-28,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600260,2016-01-19,8897000,폐기,폐품,사용연한경과
2024-09-19,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111800359,2018-06-01,3709000,폐기,폐품,사용연한경과
2018-01-30,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111600367,2016-03-31,6527000,폐기,정비필요품,고장/파손
2025-04-30,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112200387,2022-04-26,1426000,매각,중고품,불용결정
2021-07-28,매각,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111600394,2016-02-02,2585000,매각,중고품,활용가능성 없음
2017-09-24,매각,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111600395,2016-02-02,2585000,매각,중고품,활용가능성 없음
2017-09-30,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111600398,2016-02-02,2585000,폐기,폐품,사용연한경과
2025-08-25,폐기,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M112200399,2022-04-14,2864000,폐기,폐품,사용연한경과
2022-09-04,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112000402,2020-04-04,1208000,매각,중고품,활용가능성 없음
2022-08-23,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112000404,2020-04-04,1208000,폐기,폐품,사용연한경과
2024-11-22,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112000406,2020-04-04,1208000,폐기,폐품,사용연한경과
2021-03-07,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800409,2018-09-29,9250000,폐기,폐품,사용연한경과
2021-05-09,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800411,2018-09-29,9250000,폐기,정비필요품,고장/파손
2021-03-12,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800418,2018-09-29,9250000,폐기,정비필요품,고장/파손
2022-05-09,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800421,2018-09-29,9250000,폐기,정비필요품,고장/파손
2022-06-27,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800422,2018-09-29,9250000,폐기,폐품,사용연한경과
2021-02-17,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800424,2018-09-29,9250000,매각,중고품,불용결정
2022-09-09,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800427,2018-09-29,9250000,매각,중고품,불용결정
2024-05-29,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800429,2018-09-29,9250000,폐기,정비필요품,고장/파손
2021-08-11,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800433,2018-09-29,9250000,매각,중고품,사업종료
2024-07-20,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800437,2018-09-29,9250000,폐기,폐품,사용연한경과
2025-11-22,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800439,2018-09-29,9250000,매각,중고품,불용결정
2024-11-07,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800441,2018-09-29,9250000,폐기,폐품,사용연한경과
2021-10-19,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800443,2018-09-29,9250000,폐기,정비필요품,고장/파손
2023-04-25,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800445,2018-09-29,9250000,매각,중고품,불용결정
2023-11-01,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111800446,2018-09-29,9250000,매각,중고품,불용결정
2024-05-27,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700451,2017-02-18,8261000,폐기,정비필요품,고장/파손
2021-06-24,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700454,2017-02-18,8261000,매각,중고품,사업종료
2024-08-10,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700457,2017-02-18,8261000,폐기,정비필요품,고장/파손
2019-11-28,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700458,2017-02-18,8261000,매각,중고품,사업종료
2024-05-15,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700459,2017-02-18,8261000,매각,중고품,활용가능성 없음
2020-08-10,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700462,2017-02-18,8261000,매각,중고품,활용가능성 없음
2025-11-07,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700466,2017-02-18,8261000,폐기,폐품,사용연한경과
2019-09-27,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700468,2017-02-18,8261000,폐기,폐품,사용연한경과
2021-09-17,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700471,2017-02-18,8261000,폐기,폐품,사용연한경과
2018-07-15,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700472,2017-02-18,8261000,폐기,폐품,사용연한경과
2023-06-26,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700473,2017-02-18,8261000,폐기,정비필요품,고장/파손
2020-08-06,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700476,2017-02-18,8261000,폐기,폐품,사용연한경과
2025-05-21,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700477,2017-02-18,8261000,폐기,폐품,사용연한경과
2023-10-17,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700478,2017-02-18,8261000,폐기,정비필요품,고장/파손
2021-05-21,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700481,2017-02-18,8261000,폐기,정비필요품,고장/파손
2022-04-19,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700486,2017-02-18,8261000,폐기,정비필요품,고장/파손
2019-02-28,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111700488,2017-02-18,8261000,폐기,폐품,사용연한경과
2025-05-09,매각,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M112100492,2021-07-29,3698000,매각,중고품,불용결정
2024-10-06,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112200499,2022-04-21,12601000,매각,중고품,불용결정
2025-01-19,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112200506,2022-04-21,12601000,폐기,정비필요품,고장/파손
2018-03-17,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600520,2016-02-03,5242000,폐기,정비필요품,고장/파손
2019-05-21,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600521,2016-02-03,5242000,폐기,폐품,사용연한경과
2020-07-10,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600523,2016-02-03,5242000,폐기,폐품,사용연한경과
2020-01-11,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600524,2016-02-03,5242000,폐기,폐품,사용연한경과
2022-09-30,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600526,2016-02-03,5242000,매각,중고품,불용결정
2017-07-26,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600527,2016-02-03,5242000,폐기,폐품,사용연한경과
2021-03-12,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600528,2016-02-03,5242000,폐기,폐품,사용연한경과
2019-12-27,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600529,2016-02-03,5242000,폐기,폐품,사용연한경과
2021-03-10,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600530,2016-02-03,5242000,폐기,폐품,사용연한경과
2025-06-20,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600531,2016-02-03,5242000,폐기,폐품,사용연한경과
2019-06-24,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600533,2016-02-03,5242000,매각,중고품,사업종료
2021-07-25,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600534,2016-02-03,5242000,폐기,정비필요품,고장/파손
2022-06-20,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600535,2016-02-03,5242000,폐기,폐품,사용연한경과
2025-07-26,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600538,2016-02-03,5242000,폐기,폐품,사용연한경과
2021-09-08,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600539,2016-02-03,5242000,폐기,폐품,사용연한경과
2024-04-06,매각,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111500579,2015-07-13,13375000,매각,중고품,사업종료
2023-05-24,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111500582,2015-07-13,13375000,폐기,정비필요품,고장/파손
2021-08-31,매각,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M111500586,2015-12-17,5433000,매각,중고품,활용가능성 없음
2023-01-31,매각,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M112000592,2020-04-11,27778000,매각,중고품,불용결정
2021-07-15,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600597,2016-01-19,10885000,폐기,정비필요품,고장/파손
2025-05-03,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600599,2016-01-19,10885000,매각,중고품,활용가능성 없음
2025-08-25,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600604,2016-01-19,10885000,폐기,정비필요품,고장/파손
2023-03-16,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600609,2016-01-19,10885000,폐기,폐품,사용연한경과
2022-07-28,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600610,2016-01-19,10885000,매각,중고품,불용결정
2019-09-16,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600613,2016-01-19,10885000,폐기,폐품,사용연한경과
2022-11-26,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600614,2016-01-19,10885000,매각,중고품,불용결정
2023-05-13,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600619,2016-01-19,10885000,매각,중고품,불용결정
2022-02-04,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600621,2016-01-19,10885000,폐기,폐품,사용연한경과
2024-04-03,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600622,2016-01-19,10885000,폐기,폐품,사용연한경과
2021-12-05,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600625,2016-01-19,10885000,폐기,폐품,사용연한경과
2022-11-26,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600628,2016-01-19,10885000,폐기,폐품,사용연한경과
2021-11-07,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600630,2016-01-19,10885000,매각,중고품,사업종료
2018-05-30,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600637,2016-01-19,10885000,매각,중고품,사업종료
2022-12-04,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600638,2016-01-19,10885000,매각,중고품,불용결정
2024-12-14,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111600640,2016-01-19,10885000,매각,중고품,활용가능성 없음
2025-05-11,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600656,2016-05-13,5275000,폐기,폐품,사용연한경과
2024-06-02,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600657,2016-05-13,5275000,매각,중고품,불용결정
2022-01-31,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600660,2016-05-13,5275000,폐기,폐품,사용연한경과
2019-08-10,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600661,2016-05-13,5275000,폐기,폐품,사용연한경과
2018-04-18,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600663,2016-05-13,5275000,폐기,폐품,사용연한경과
2019-05-23,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600664,2016-05-13,5275000,매각,중고품,활용가능성 없음
2020-04-19,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600666,2016-05-13,5275000,매각,중고품,사업종료
2019-11-28,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600669,2016-05-13,5275000,폐기,폐품,사용연한경과
2024-01-02,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600671,2016-05-13,5275000,폐기,폐품,사용연한경과
2025-05-11,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600672,2016-05-13,5275000,매각,중고품,사업종료
2020-06-11,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600676,2016-05-13,5275000,폐기,정비필요품,고장/파손
2023-02-03,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111600685,2016-05-13,5275000,매각,중고품,불용결정
2025-03-08,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112200692,2022-11-14,14355000,폐기,폐품,사용연한경과
2024-09-09,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112200696,2022-11-14,14355000,폐기,폐품,사용연한경과
2025-08-03,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111900702,2019-01-29,76730000,매각,중고품,활용가능성 없음
2021-01-16,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111900703,2019-01-29,76730000,매각,중고품,활용가능성 없음
2023-12-30,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112200766,2022-04-05,2934000,폐기,정비필요품,고장/파손
2025-01-24,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112200770,2022-04-05,2934000,폐기,폐품,사용연한경과
2025-08-30,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112200773,2022-04-05,2934000,폐기,정비필요품,고장/파손
2024-05-16,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112200778,2022-04-05,2934000,매각,중고품,사업종료
2023-06-04,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M112100793,2021-11-20,75600000,매각,중고품,사업종료
2019-06-04,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111600832,2016-08-19,11148000,폐기,폐품,사용연한경과
2023-07-22,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111600834,2016-08-19,11148000,매각,중고품,활용가능성 없음
2023-09-04,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111600835,2016-08-19,11148000,매각,중고품,불용결정
2024-06-01,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M112200841,2022-01-30,4876000,폐기,정비필요품,고장/파손
2025-07-05,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M112200866,2022-01-30,4876000,폐기,폐품,사용연한경과
2018-03-06,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111600875,2016-06-17,14355000,폐기,폐품,사용연한경과
2023-07-28,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111600876,2016-06-17,14355000,매각,중고품,불용결정
2025-09-05,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112100879,2021-01-09,3138000,폐기,폐품,사용연한경과
2024-06-21,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112100880,2021-01-09,3138000,매각,중고품,활용가능성 없음
2024-03-09,매각,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M112100928,2021-03-24,27767000,매각,중고품,불용결정
2023-06-24,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111900937,2019-09-17,21434000,매각,중고품,활용가능성 없음
2024-10-03,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111900941,2019-09-17,21434000,폐기,폐품,사용연한경과
2025-02-06,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111900942,2019-09-17,21434000,매각,중고품,사업종료
2025-08-06,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111800954,2018-12-31,11724000,폐기,폐품,사용연한경과
2025-10-21,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111800956,2018-12-31,11724000,폐기,폐품,사용연한경과
2023-08-04,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111800957,2018-12-31,11724000,폐기,정비필요품,고장/파손
2023-10-24,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111800961,2018-12-31,11724000,폐기,정비필요품,고장/파손
2019-06-18,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111700968,2017-01-01,1670000,폐기,정비필요품,고장/파손
2019-01-09,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111700969,2017-01-01,1670000,매각,중고품,활용가능성 없음
2024-04-18,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M112000977,2020-06-03,319000,폐기,폐품,사용연한경과
2024-09-11,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112101032,2021-06-16,7724000,폐기,폐품,사용연한경과
2023-01-13,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112101045,2021-06-16,7724000,폐기,정비필요품,고장/파손
2025-03-19,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112101054,2021-06-16,7724000,폐기,정비필요품,고장/파손
2025-01-14,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112101058,2021-06-16,7724000,폐기,정비필요품,고장/파손
2019-04-01,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111701073,2017-07-19,4952000,폐기,폐품,사용연한경과
2023-04-09,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111701074,2017-07-19,4952000,폐기,정비필요품,고장/파손
2021-04-04,매각,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111901079,2019-09-10,2833000,매각,중고품,불용결정
2025-09-20,매각,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M112001085,2020-06-11,11420000,매각,중고품,불용결정
2024-04-30,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M112001087,2020-06-11,11420000,폐기,정비필요품,고장/파손
2024-03-02,매각,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M112001088,2020-06-11,11420000,매각,중고품,불용결정
2022-01-04,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M112001090,2020-06-11,11420000,폐기,정비필요품,고장/파손
2023-04-14,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111601097,2016-05-19,7262000,매각,중고품,사업종료
2022-03-12,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111601099,2016-05-19,7262000,매각,중고품,불용결정
2024-09-12,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111601100,2016-05-19,7262000,매각,중고품,불용결정
2021-11-08,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111601102,2016-05-19,7262000,폐기,폐품,사용연한경과
2018-10-30,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111601111,2016-05-19,7262000,매각,중고품,불용결정
