불용일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,물품상태,사유
2026-04-20,,hyl0610,황팀장,대기,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202100165,2021-11-23,6537000,2021-12-30,,폐품,내구연한 경과
2026-03-09,2026-03-16,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202100170,2021-11-23,6537000,2021-12-30,,중고품,활용부서부재
2021-07-14,2021-07-21,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900185,2019-04-13,10967000,2019-06-04,,정비필요품,수리비용과다
2022-09-14,2022-09-21,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900186,2019-04-13,10967000,2019-06-04,,중고품,구형화
2022-07-31,2022-08-07,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900190,2019-04-13,10967000,2019-06-04,,폐품,내구연한 경과
2022-08-20,,hyl0610,황팀장,대기,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900192,2019-04-13,10967000,2019-06-04,,중고품,구형화
2023-04-18,2023-04-25,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202100193,2021-01-11,31430000,2021-03-06,,정비필요품,수리비용과다
2022-12-05,,hyl0610,황팀장,대기,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202100194,2021-01-11,31430000,2021-03-06,,폐품,내구연한 경과
2023-07-23,2023-07-30,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202100195,2021-01-11,31430000,2021-03-06,,정비필요품,수리비용과다
2025-12-07,2025-12-14,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202100196,2021-01-11,31430000,2021-03-06,,폐품,내구연한 경과
2024-12-06,2024-12-13,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202100198,2021-01-11,31430000,2021-03-06,,중고품,활용부서부재
2026-01-07,2026-01-14,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202100200,2021-01-11,31430000,2021-03-06,,중고품,활용부서부재
2025-04-03,2025-04-10,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202000213,2020-06-29,3846000,2020-06-30,,폐품,내구연한 경과
2022-03-09,,hyl0610,황팀장,대기,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202000215,2020-06-29,3846000,2020-06-30,,중고품,구형화
2018-03-17,,hyl0610,황팀장,대기,4322260926066170,"라우터, Netgear, (US)PR60X",M201500242,2015-06-13,2817000,2015-07-14,,중고품,구형화
2017-04-27,,hyl0610,황팀장,대기,4322260926066170,"라우터, Netgear, (US)PR60X",M201500243,2015-06-13,2817000,2015-07-14,,정비필요품,수리비용과다
2023-10-10,2023-10-17,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201500244,2015-06-13,2817000,2015-07-14,,폐품,내구연한 경과
2022-12-17,,hyl0610,황팀장,대기,4322260926066170,"라우터, Netgear, (US)PR60X",M201500245,2015-06-13,2817000,2015-07-14,,정비필요품,수리비용과다
2026-05-19,2026-05-26,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201800248,2018-09-12,4110000,2018-10-12,,폐품,내구연한 경과
2020-02-17,2020-02-24,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201800251,2018-09-12,4110000,2018-10-12,,중고품,구형화
2023-04-22,2023-04-29,hyl0610,황팀장,확정,4322260926066170,"라우터, Netgear, (US)PR60X",M201800253,2018-09-12,4110000,2018-10-12,,폐품,내구연한 경과
2024-04-24,2024-05-01,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500264,2015-12-31,5878000,2016-01-02,,중고품,활용부서부재
2020-10-16,,hyl0610,황팀장,대기,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500265,2015-12-31,5878000,2016-01-02,,폐품,내구연한 경과
2019-11-23,2019-11-30,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201500266,2015-12-31,5878000,2016-01-02,,폐품,내구연한 경과
2023-08-14,2023-08-21,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202000275,2020-02-09,8288000,2020-03-18,,폐품,내구연한 경과
2023-09-06,2023-09-13,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202000276,2020-02-09,8288000,2020-03-18,,폐품,내구연한 경과
2024-09-01,2024-09-08,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202000279,2020-02-09,8288000,2020-03-18,,중고품,활용부서부재
2023-09-27,,hyl0610,황팀장,대기,4322260926066170,"라우터, Netgear, (US)PR60X",M202000294,2020-02-28,594000,2020-03-01,,중고품,구형화
2023-08-31,2023-09-07,hyl0610,황팀장,확정,4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201600298,2016-03-26,226000,2016-03-28,,정비필요품,수리비용과다
2018-01-15,,hyl0610,황팀장,대기,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201500299,2015-07-25,651000,2015-08-28,,중고품,구형화
2017-09-30,2017-10-07,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201500301,2015-07-25,651000,2015-08-28,,중고품,구형화
2026-02-19,2026-02-26,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M202200303,2022-09-01,341000,2022-09-02,,폐품,내구연한 경과
2024-01-06,2024-01-13,hyl0610,황팀장,확정,4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M202200309,2022-09-01,341000,2022-09-02,,중고품,구형화
2023-06-03,2023-06-10,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100313,2021-03-25,8441000,2021-04-01,,폐품,내구연한 경과
2024-05-11,2024-05-18,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201800318,2018-10-01,10090000,2018-10-07,,중고품,구형화
2025-06-26,2025-07-03,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201800322,2018-10-01,10090000,2018-10-07,,중고품,구형화
2019-12-17,2019-12-24,hyl0610,황팀장,확정,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201500323,2015-11-13,1089000,2016-01-05,,정비필요품,수리비용과다
2023-05-19,,hyl0610,황팀장,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201500325,2015-11-13,1089000,2016-01-05,,정비필요품,수리비용과다
2026-03-18,2026-03-25,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202200326,2022-02-03,14982000,2022-03-21,,중고품,활용부서부재
2024-03-08,2024-03-15,hyl0610,황팀장,확정,4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M202200330,2022-02-03,14982000,2022-03-21,,폐품,내구연한 경과
2019-10-30,2019-11-06,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500331,2015-10-03,12152000,2015-11-23,,정비필요품,수리비용과다
2023-09-12,2023-09-19,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500334,2015-10-03,12152000,2015-11-23,,중고품,구형화
2017-01-16,2017-01-23,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500335,2015-10-03,12152000,2015-11-23,,폐품,내구연한 경과
2018-09-03,2018-09-10,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500336,2015-10-03,12152000,2015-11-23,,폐품,내구연한 경과
2019-11-08,2019-11-15,hyl0610,황팀장,확정,4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500337,2015-10-03,12152000,2015-11-23,,폐품,내구연한 경과
2024-01-24,,hyl0610,황팀장,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M202200339,2022-03-07,3227000,2022-03-12,,폐품,내구연한 경과
2025-10-19,,hyl0610,황팀장,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M202200342,2022-03-07,3227000,2022-03-12,,폐품,내구연한 경과
2021-04-17,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700349,2017-06-26,5951000,2017-08-14,,중고품,구형화
2021-05-12,2021-05-19,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700350,2017-06-26,5951000,2017-08-14,,정비필요품,수리비용과다
2022-01-04,2022-01-11,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700351,2017-06-26,5951000,2017-08-14,,중고품,구형화
2021-09-12,2021-09-19,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700352,2017-06-26,5951000,2017-08-14,,정비필요품,수리비용과다
2019-04-29,2019-05-06,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700353,2017-06-26,5951000,2017-08-14,,폐품,내구연한 경과
2019-05-09,,hyl0610,황팀장,반려,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700355,2017-06-26,5951000,2017-08-14,,정비필요품,수리비용과다
2025-09-12,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700357,2017-06-26,5951000,2017-08-14,,중고품,구형화
2021-01-24,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700360,2017-06-26,5951000,2017-08-14,,정비필요품,수리비용과다
2024-12-28,2025-01-04,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700361,2017-06-26,5951000,2017-08-14,,중고품,구형화
2020-11-13,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700362,2017-06-26,5951000,2017-08-14,,정비필요품,수리비용과다
2021-12-30,2022-01-06,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700365,2017-06-26,5951000,2017-08-14,,폐품,내구연한 경과
2020-04-02,2020-04-09,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700369,2017-06-26,5951000,2017-08-14,,중고품,활용부서부재
2026-04-12,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700372,2017-06-26,5951000,2017-08-14,,중고품,구형화
2026-04-06,2026-04-13,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700375,2017-06-26,5951000,2017-08-14,,중고품,구형화
2024-06-17,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700379,2017-06-26,5951000,2017-08-14,,폐품,내구연한 경과
2023-12-04,2023-12-11,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700380,2017-06-26,5951000,2017-08-14,,폐품,내구연한 경과
2019-11-20,2019-11-27,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700381,2017-06-26,5951000,2017-08-14,,정비필요품,수리비용과다
2022-08-09,2022-08-16,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201700383,2017-06-26,5951000,2017-08-14,,중고품,구형화
2023-07-10,2023-07-17,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M202000385,2020-02-27,651000,2020-03-02,,정비필요품,수리비용과다
2023-09-23,2023-09-30,hyl0610,황팀장,확정,5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M202000386,2020-02-27,651000,2020-03-02,,폐품,내구연한 경과
2023-03-31,,hyl0610,황팀장,대기,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202000387,2020-01-12,987000,2020-02-14,,중고품,구형화
2019-09-10,2019-09-17,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201800388,2018-04-27,713000,2018-04-29,,폐품,내구연한 경과
2021-11-13,2021-11-20,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900389,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2024-02-03,2024-02-10,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900391,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2025-05-10,2025-05-17,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900393,2019-10-26,7761000,2019-12-11,,정비필요품,수리비용과다
2025-10-30,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900395,2019-10-26,7761000,2019-12-11,,정비필요품,수리비용과다
2023-08-02,2023-08-09,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900396,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2025-04-02,2025-04-09,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900397,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2023-01-12,2023-01-19,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900398,2019-10-26,7761000,2019-12-11,,중고품,활용부서부재
2024-01-11,2024-01-18,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900399,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2021-09-28,2021-10-05,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900400,2019-10-26,7761000,2019-12-11,,중고품,활용부서부재
2024-05-22,2024-05-29,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900402,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2025-12-28,2026-01-04,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900403,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2021-05-30,2021-06-06,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900405,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2024-12-17,2024-12-24,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900408,2019-10-26,7761000,2019-12-11,,정비필요품,수리비용과다
2024-10-12,2024-10-19,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900409,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2022-06-26,2022-07-03,hyl0610,황팀장,확정,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900410,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2025-06-15,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900415,2019-10-26,7761000,2019-12-11,,폐품,내구연한 경과
2024-11-21,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900417,2019-10-26,7761000,2019-12-11,,정비필요품,수리비용과다
2022-12-28,,hyl0610,황팀장,대기,5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201900418,2019-10-26,7761000,2019-12-11,,정비필요품,수리비용과다
