G2B_목록번호,G2B_목록명,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,수량,승인상태,취득정리구분,운용부서코드,비고
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2025-07-29,10285000,,경상대학RC행정팀(ERICA),취득,10,50,대기,자체구입,C364,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2016-03-01,1528000,2016-03-03,공학대학RC행정팀(ERICA),취득,5,4,확정,자체구입,C352,Aspernatur ipsum ad neque.
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2025-10-17,178000,2025-10-24,학생지원팀(ERICA),취득,5,3,확정,자체구입,A320,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2016-02-22,3314000,2016-03-28,시설팀(ERICA),취득,8,5,확정,자체구입,A351,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2025-12-11,1353000,2025-12-18,글로벌문화통상대학RC행정팀(ERICA),취득,10,8,확정,자체구입,C360,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2025-07-29,668000,2025-08-02,학생지원팀(ERICA),취득,8,1,확정,자체구입,A320,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2025-04-17,95000,,글로벌문화통상대학RC행정팀(ERICA),취득,5,1,대기,기증,C360,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2016-06-11,5803000,2016-07-30,경상대학RC행정팀(ERICA),취득,8,9,확정,자체구입,C364,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2021-11-23,6537000,2021-12-30,시설팀(ERICA),취득,6,8,확정,자체구입,A351,Laudantium occaecati et laudantium odit sed.
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2023-10-27,7776000,2023-11-03,글로벌문화통상대학RC행정팀(ERICA),취득,6,10,확정,자체구입,C360,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2019-04-13,10967000,2019-06-04,경상대학RC행정팀(ERICA),취득,5,10,확정,자체구입,C364,Ad sunt distinctio totam laboriosam architecto.
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2021-01-11,31430000,2021-03-06,경상대학RC행정팀(ERICA),취득,7,10,확정,자체구입,C364,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2025-09-30,8001000,2025-10-03,소프트웨어융합대학RC행정팀(ERICA),취득,6,9,확정,자체구입,C354,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2020-06-29,3846000,2020-06-30,소프트웨어융합대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C354,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2025-06-10,4428000,2025-07-21,시설팀(ERICA),취득,10,26,확정,자체구입,A351,
4322260926066170,"라우터, Netgear, (US)PR60X",2015-06-13,2817000,2015-07-14,공학대학RC행정팀(ERICA),취득,6,5,확정,자체구입,C352,
4322260926066170,"라우터, Netgear, (US)PR60X",2018-09-12,4110000,2018-10-12,공학대학RC행정팀(ERICA),취득,6,7,확정,자체구입,C352,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2024-11-27,6312000,2025-01-06,시설팀(ERICA),취득,6,7,확정,자체구입,A351,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2015-12-31,5878000,2016-01-02,경상대학RC행정팀(ERICA),취득,6,6,확정,자체구입,C364,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2025-09-19,6988000,,글로벌문화통상대학RC행정팀(ERICA),취득,6,8,대기,자체구입,C360,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2016-09-16,257000,2016-09-19,글로벌문화통상대학RC행정팀(ERICA),취득,5,3,확정,자체구입,C360,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2025-12-28,859000,2026-02-07,시설팀(ERICA),취득,10,4,확정,자체구입,A351,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2020-02-09,8288000,2020-03-18,시설팀(ERICA),취득,5,7,확정,자체구입,A351,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2023-07-26,5388000,2023-07-29,학생지원팀(ERICA),취득,10,7,확정,자체구입,A320,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2023-03-09,5618000,2023-04-24,경상대학RC행정팀(ERICA),취득,6,6,확정,자체구입,C364,
4322260926066170,"라우터, Netgear, (US)PR60X",2020-02-28,594000,2020-03-01,시설팀(ERICA),취득,6,1,확정,자체구입,A351,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2016-03-26,226000,2016-03-28,학생지원팀(ERICA),취득,5,4,확정,자체구입,A320,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2015-07-25,651000,2015-08-28,경상대학RC행정팀(ERICA),취득,10,3,확정,자체구입,C364,Dignissimos soluta officia quae iure cumque veniam.
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2022-09-01,341000,2022-09-02,공학대학RC행정팀(ERICA),취득,4,8,확정,자체구입,C352,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2021-03-25,8441000,2021-04-01,글로벌문화통상대학RC행정팀(ERICA),취득,5,7,확정,자체구입,C360,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2018-10-01,10090000,2018-10-07,공학대학RC행정팀(ERICA),취득,6,6,확정,자체구입,C352,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2015-11-13,1089000,2016-01-05,공학대학RC행정팀(ERICA),취득,5,3,확정,자체구입,C352,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2022-02-03,14982000,2022-03-21,글로벌문화통상대학RC행정팀(ERICA),취득,7,5,확정,자체구입,C360,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2015-10-03,12152000,2015-11-23,시설팀(ERICA),취득,6,7,확정,자체구입,A351,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2022-03-07,3227000,2022-03-12,경상대학RC행정팀(ERICA),취득,5,10,확정,자체구입,C364,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2017-06-26,5951000,2017-08-14,공학대학RC행정팀(ERICA),취득,10,36,확정,자체구입,C352,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2020-02-27,651000,2020-03-02,경상대학RC행정팀(ERICA),취득,10,3,확정,자체구입,C364,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2020-01-12,987000,2020-02-14,경상대학RC행정팀(ERICA),취득,6,1,확정,자체구입,C364,Omnis numquam dolores quis illo.
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2018-04-27,713000,2018-04-29,소프트웨어융합대학RC행정팀(ERICA),취득,6,1,확정,자체구입,C354,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2019-10-26,7761000,2019-12-11,시설팀(ERICA),취득,10,37,확정,자체구입,A351,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2019-03-16,1485000,2019-03-20,시설팀(ERICA),취득,6,2,확정,자체구입,A351,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2016-06-03,8628000,2016-07-23,글로벌문화통상대학RC행정팀(ERICA),취득,10,10,확정,자체구입,C360,Itaque quas odit a explicabo nulla.
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2019-08-25,385000,2019-10-12,소프트웨어융합대학RC행정팀(ERICA),취득,5,7,확정,자체구입,C354,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2023-06-03,958000,2023-07-20,시설팀(ERICA),취득,10,5,확정,자체구입,A351,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2019-04-11,262000,2019-04-18,공학대학RC행정팀(ERICA),취득,5,3,확정,자체구입,C352,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2019-04-07,2250000,2019-05-25,학생지원팀(ERICA),취득,10,6,확정,자체구입,A320,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2025-08-03,1643000,,경상대학RC행정팀(ERICA),취득,5,7,대기,자체구입,C364,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2017-01-05,617000,2017-03-04,소프트웨어융합대학RC행정팀(ERICA),취득,5,10,확정,기증,C354,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2020-09-29,232000,2020-11-16,글로벌문화통상대학RC행정팀(ERICA),취득,5,4,확정,자체구입,C360,Quidem aspernatur sequi odit voluptate unde iusto.
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2024-08-20,6877000,2024-08-24,경상대학RC행정팀(ERICA),취득,5,6,확정,자체구입,C364,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2021-12-01,7653000,2021-12-03,글로벌문화통상대학RC행정팀(ERICA),취득,10,20,확정,자체구입,C360,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2022-05-05,7629000,2022-05-10,소프트웨어융합대학RC행정팀(ERICA),취득,10,9,확정,자체구입,C354,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2016-07-27,9862000,2016-07-28,소프트웨어융합대학RC행정팀(ERICA),취득,5,9,확정,자체구입,C354,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2020-07-04,81000,2020-07-08,경상대학RC행정팀(ERICA),취득,5,1,확정,자체구입,C364,
4322260926066170,"라우터, Netgear, (US)PR60X",2017-02-16,572000,2017-02-19,시설팀(ERICA),취득,6,1,확정,자체구입,A351,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2021-03-28,559000,2021-05-08,경상대학RC행정팀(ERICA),취득,5,10,확정,자체구입,C364,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2022-05-17,6751000,2022-05-21,공학대학RC행정팀(ERICA),취득,10,19,확정,자체제작,C352,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2017-06-28,1229000,2017-07-03,시설팀(ERICA),취득,5,1,확정,자체구입,A351,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2025-07-10,593000,,소프트웨어융합대학RC행정팀(ERICA),취득,5,6,대기,자체구입,C354,
4322260926066170,"라우터, Netgear, (US)PR60X",2021-06-04,3957000,2021-06-06,소프트웨어융합대학RC행정팀(ERICA),취득,6,7,확정,자체제작,C354,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2021-07-25,3007000,2021-07-30,글로벌문화통상대학RC행정팀(ERICA),취득,5,8,확정,자체구입,C360,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2015-03-16,428000,2015-05-04,공학대학RC행정팀(ERICA),취득,10,2,확정,자체구입,C352,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2023-10-04,7794000,2023-10-10,경상대학RC행정팀(ERICA),취득,10,9,확정,자체구입,C364,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2016-11-07,42000,2017-01-03,공학대학RC행정팀(ERICA),취득,4,1,확정,자체구입,C352,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2023-05-24,706000,2023-05-31,공학대학RC행정팀(ERICA),취득,5,8,확정,자체구입,C352,
4322260926066170,"라우터, Netgear, (US)PR60X",2017-07-07,5634000,2017-08-14,글로벌문화통상대학RC행정팀(ERICA),취득,6,10,확정,자체제작,C360,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2025-12-03,7919000,2025-12-10,공학대학RC행정팀(ERICA),취득,10,33,확정,기증,C352,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2023-05-26,1375000,2023-06-01,학생지원팀(ERICA),취득,8,2,확정,자체구입,A320,Ut totam perferendis perferendis.
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2022-04-28,2780000,2022-06-19,시설팀(ERICA),취득,6,4,확정,자체구입,A351,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2015-04-22,11013000,2015-06-15,시설팀(ERICA),취득,10,34,확정,자체구입,A351,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2024-08-30,6315000,2024-09-05,소프트웨어융합대학RC행정팀(ERICA),취득,6,8,확정,자체구입,C354,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2015-08-14,1099000,2015-09-20,경상대학RC행정팀(ERICA),취득,5,4,확정,자체구입,C364,Qui ipsam ipsa.
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2022-01-26,10220000,2022-03-21,시설팀(ERICA),취득,10,27,확정,자체구입,A351,Nostrum minima harum veritatis omnis soluta.
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2017-04-28,10940000,2017-05-02,글로벌문화통상대학RC행정팀(ERICA),취득,5,10,확정,자체구입,C360,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2018-01-14,1429000,2018-02-20,경상대학RC행정팀(ERICA),취득,5,6,확정,자체구입,C364,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2017-07-03,8702000,2017-08-25,경상대학RC행정팀(ERICA),취득,10,25,확정,자체구입,C364,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2025-12-26,369000,,학생지원팀(ERICA),취득,4,9,대기,자체구입,A320,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2017-08-23,6258000,2017-08-28,소프트웨어융합대학RC행정팀(ERICA),취득,8,9,확정,자체구입,C354,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2016-12-19,759000,2017-02-13,글로벌문화통상대학RC행정팀(ERICA),취득,5,2,확정,자체구입,C360,
4322260926066170,"라우터, Netgear, (US)PR60X",2025-08-22,2135000,2025-09-28,소프트웨어융합대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C354,
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",2025-05-25,9359000,2025-07-08,글로벌문화통상대학RC행정팀(ERICA),취득,10,41,확정,자체구입,C360,
4322260926066170,"라우터, Netgear, (US)PR60X",2017-08-19,4221000,2017-08-25,소프트웨어융합대학RC행정팀(ERICA),취득,6,7,확정,자체구입,C354,Numquam aspernatur deserunt tenetur.
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2025-04-10,1941000,2025-04-14,학생지원팀(ERICA),취득,8,3,확정,자체구입,A320,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2025-10-17,459000,2025-11-21,학생지원팀(ERICA),취득,5,7,확정,자체구입,A320,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2019-02-22,10909000,2019-03-26,학생지원팀(ERICA),취득,5,10,확정,자체구입,A320,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2025-01-28,721000,2025-02-02,소프트웨어융합대학RC행정팀(ERICA),취득,5,3,확정,자체구입,C354,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2021-10-12,1075000,2021-10-17,공학대학RC행정팀(ERICA),취득,10,5,확정,자체구입,C352,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2022-05-27,20470000,2022-05-30,학생지원팀(ERICA),취득,7,7,확정,자체구입,A320,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2021-02-24,5852000,2021-04-17,소프트웨어융합대학RC행정팀(ERICA),취득,8,9,확정,자체구입,C354,Dicta saepe corrupti illum nam.
4322261025578661,"허브, Belkin, (US)INC002, 7port",2025-10-03,509000,2025-11-17,경상대학RC행정팀(ERICA),취득,5,6,확정,자체구입,C364,Explicabo illo labore.
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2023-01-16,1528000,2023-01-22,경상대학RC행정팀(ERICA),취득,10,7,확정,자체구입,C364,
4322260926066170,"라우터, Netgear, (US)PR60X",2020-03-11,2046000,2020-04-26,경상대학RC행정팀(ERICA),취득,6,4,확정,자체구입,C364,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2025-11-16,1031000,,공학대학RC행정팀(ERICA),취득,10,5,대기,자체구입,C352,
4322260926066170,"라우터, Netgear, (US)PR60X",2020-04-29,3371000,2020-04-30,경상대학RC행정팀(ERICA),취득,6,6,확정,자체구입,C364,Optio quae quos ab illum tempore totam.
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2024-08-07,6849000,2024-08-10,소프트웨어융합대학RC행정팀(ERICA),취득,6,10,확정,자체구입,C354,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2018-04-13,833000,2018-05-20,소프트웨어융합대학RC행정팀(ERICA),취득,5,10,확정,자체구입,C354,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2019-10-01,769000,2019-10-05,시설팀(ERICA),취득,5,9,확정,자체구입,A351,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2025-05-26,14628000,,시설팀(ERICA),취득,7,5,대기,자체구입,A351,
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2020-06-11,828000,2020-08-01,경상대학RC행정팀(ERICA),취득,10,1,확정,자체구입,C364,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2017-05-24,2464000,2017-07-04,글로벌문화통상대학RC행정팀(ERICA),취득,5,9,확정,자체구입,C360,Inventore at cupiditate voluptatibus delectus consequuntur.
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",2016-08-29,2499000,2016-10-03,소프트웨어융합대학RC행정팀(ERICA),취득,10,3,확정,자체구입,C354,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2023-05-24,764000,2023-06-27,공학대학RC행정팀(ERICA),취득,5,3,확정,자체구입,C352,
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",2025-11-06,3603000,,경상대학RC행정팀(ERICA),취득,5,10,대기,기증,C364,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2020-07-07,15523000,2020-08-09,글로벌문화통상대학RC행정팀(ERICA),취득,10,47,확정,자체구입,C360,Pariatur quia dolorem cupiditate quos eveniet eum fuga.
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2019-03-18,29333000,,시설팀(ERICA),취득,7,10,반려,자체구입,A351,예산 초과로 인한 반려
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2018-03-14,3426000,2018-04-28,학생지원팀(ERICA),취득,8,5,확정,자체구입,A320,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2015-02-28,4960000,2015-03-07,경상대학RC행정팀(ERICA),취득,10,27,확정,자체구입,C364,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2019-06-24,2152000,2019-06-27,시설팀(ERICA),취득,5,9,확정,자체구입,A351,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2025-12-29,4431000,,경상대학RC행정팀(ERICA),취득,10,27,대기,자체구입,C364,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2025-07-20,74000,,학생지원팀(ERICA),취득,4,2,대기,자체구입,A320,Deleniti in quo.
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2025-04-19,7910000,,소프트웨어융합대학RC행정팀(ERICA),취득,5,7,대기,자체구입,C354,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2023-10-16,56000,2023-12-11,글로벌문화통상대학RC행정팀(ERICA),취득,5,1,확정,자체구입,C360,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2022-03-13,698000,2022-05-10,글로벌문화통상대학RC행정팀(ERICA),취득,5,8,확정,자체구입,C360,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2024-07-22,19297000,2024-09-20,소프트웨어융합대학RC행정팀(ERICA),취득,7,6,확정,자체구입,C354,
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",2015-06-01,393000,2015-07-29,글로벌문화통상대학RC행정팀(ERICA),취득,10,2,확정,자체구입,C360,Natus vitae ea repudiandae quam possimus in.
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2016-06-14,3884000,2016-07-24,경상대학RC행정팀(ERICA),취득,6,2,확정,자체구입,C364,Explicabo esse consequuntur dolores.
