물품고유번호,G2B목록명,물품분류명,운용부서코드,운용부서명,캠퍼스,취득일자,불용일자,처분방식,물품상태,불용사유,내용연수,취득금액,운용연차,잔여내용연수,부서가혹도,누적사용부하,고장임박도,가격민감도,장비중요도,리드타임등급,취득월,구매배치ID,구매배치수량,대량구매여부,동일배치자산수,동일배치운용연차평균,월평균사용시간,주당사용일수,공용장비여부,수업사용여부,사용강도지수,누적점검수리횟수,누적수리횟수,최근1년수리횟수,최근2년수리횟수,마지막수리후경과개월,누적수리비용,취득금액대비수리비율,최대장애심각도,교체권고횟수,취득학기구분,취득학기구분_Code,신학기준비월여부,예산집행월여부,방학기간여부,부서예산등급,부서예산등급_Code,부서교체성향,부서관리성향,G2B목록명_Code,물품분류명_Code,운용부서코드_Code,캠퍼스_Code,실제수명,학습데이터여부,데이터세트구분,서비스계수,실제잔여수명,예측잔여수명,(월별)고장예상수량,안전재고,(월별)필요수량,AI예측고장일,안전버퍼,권장발주일,예측실행일자
M200600730,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2009-08-19,폐기,폐품,수리비용과다,6,935000,3.88,2.12,1.3,5.04,0.42,0.75,0.52,0,4,B2006000001,14,1,14,10.34,188,4,0,1,1.35,2,0,0,1,19.5,0,0.0,0,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.88,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M200600731,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2025-05-02,,,고장/파손,6,935000,19.87,-13.87,1.3,25.83,1.0,0.75,0.52,0,4,B2006000001,14,1,14,10.34,190,5,0,1,1.35,12,8,0,0,57.0,487000,0.521,3,1,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M200600732,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2008-12-09,폐기,폐품,수리비용과다,6,935000,2.88,3.12,1.3,3.74,0.23,0.75,0.52,0,4,B2006000001,14,1,14,10.34,166,6,1,1,1.35,0,0,0,0,34.6,0,0.0,0,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.88,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M200600733,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2009-02-12,,,성능저하,6,935000,19.87,-13.87,1.3,25.83,1.0,0.75,0.52,0,4,B2006000001,14,1,14,10.34,204,4,0,0,1.35,4,1,0,0,204.1,17000,0.018,1,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M201300475,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2017-02-16,폐기,폐품,내용연수경과,6,1001000,3.78,2.22,1.3,4.91,0.4,0.75,0.52,0,12,B2013000002,14,1,14,4.65,149,4,1,1,1.35,1,0,0,0,36.1,0,0.0,0,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.78,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300476,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2017-12-20,폐기,폐품,성능저하,6,1001000,4.27,1.73,1.3,5.55,0.51,0.75,0.52,0,12,B2013000002,14,1,14,4.65,166,4,1,1,1.35,1,1,1,1,1.0,16000,0.016,1,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,4.27,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300477,노트북컴퓨터,노트북컴퓨터,C354,,ERICA,2013-12-20,,,,,6,1001000,12.15,-6.15,1.0,12.15,1.0,0.75,0.52,0,12,B2013000002,14,1,14,4.65,154,6,0,1,1.35,10,6,3,3,1.4,356000,0.356,2,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M201300478,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2016-12-14,폐기,폐품,노후화,6,1001000,3.32,2.68,1.3,4.32,0.31,0.75,0.52,0,12,B2013000002,14,1,14,4.65,197,6,1,0,1.35,1,0,0,1,13.0,0,0.0,0,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.32,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300479,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2025-04-09,,,수리비용과다,6,1001000,12.15,-6.15,1.3,15.8,1.0,0.75,0.52,0,12,B2013000002,14,1,14,4.65,140,5,1,0,1.35,9,6,0,1,17.8,493000,0.493,3,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M201300480,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2017-08-09,폐기,폐품,수리비용과다,6,1001000,4.15,1.85,1.3,5.4,0.48,0.75,0.52,0,12,B2013000002,14,1,14,4.65,201,6,1,1,1.35,2,0,1,2,3.2,0,0.0,0,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,4.15,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300481,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2017-08-22,폐기,폐품,노후화,6,1001000,4.16,1.84,1.3,5.41,0.48,0.75,0.52,0,12,B2013000002,14,1,14,4.65,218,4,1,1,1.35,4,4,0,0,29.6,148000,0.148,2,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,4.16,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300482,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2016-02-18,폐기,폐품,성능저하,6,1001000,2.75,3.25,1.3,3.58,0.21,0.75,0.52,0,12,B2013000002,14,1,14,4.65,160,5,1,1,1.35,3,1,0,3,12.1,13000,0.013,1,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.75,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300483,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2016-02-25,폐기,폐품,성능저하,6,1001000,2.86,3.14,1.3,3.72,0.23,0.75,0.52,0,12,B2013000002,14,1,14,4.65,192,6,1,1,1.35,2,0,1,2,6.6,0,0.0,0,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.86,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300484,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2016-07-29,폐기,폐품,노후화,6,1001000,2.88,3.12,1.3,3.74,0.23,0.75,0.52,0,12,B2013000002,14,1,14,4.65,170,6,1,1,1.35,2,1,1,1,4.2,12000,0.012,1,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.88,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300485,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2015-08-17,폐기,폐품,성능저하,6,1001000,1.95,4.05,1.3,2.54,0.11,0.75,0.52,0,12,B2013000002,14,1,14,4.65,151,6,1,1,1.35,2,1,2,2,6.3,109000,0.109,2,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,1.95,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300486,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2016-12-03,폐기,폐품,수리비용과다,6,1001000,3.25,2.75,1.3,4.23,0.29,0.75,0.52,0,12,B2013000002,14,1,14,4.65,194,5,0,1,1.35,2,2,1,1,5.2,141000,0.141,2,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.25,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300487,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2018-02-17,폐기,폐품,성능저하,6,1001000,4.36,1.64,1.3,5.67,0.53,0.75,0.52,0,12,B2013000002,14,1,14,4.65,148,4,1,1,1.35,5,4,0,0,31.1,201000,0.201,2,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,4.36,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300488,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-20,2016-08-22,폐기,폐품,노후화,6,1001000,3.1,2.9,1.3,4.03,0.27,0.75,0.52,0,12,B2013000002,14,1,14,4.65,126,4,1,1,1.35,0,0,0,0,37.2,0,0.0,0,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.1,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M202000508,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2025-03-23,,,노후화,6,1055000,6.01,-0.01,1.3,7.81,1.0,0.75,0.52,0,2,B2020000003,14,1,14,3.79,207,5,1,1,1.35,5,1,0,0,33.9,30000,0.028,1,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M202000509,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2025-01-17,,,수리비용과다,6,1055000,6.01,-0.01,1.3,7.81,1.0,0.75,0.52,0,2,B2020000003,14,1,14,3.79,196,5,1,0,1.35,4,1,0,0,30.4,30000,0.028,1,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M202000510,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2023-08-22,폐기,폐품,노후화,6,1055000,3.96,2.04,1.3,5.15,0.44,0.75,0.52,0,2,B2020000003,14,1,14,3.79,121,6,1,1,1.296,3,1,1,2,11.7,22000,0.021,1,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.96,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000511,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2024-12-19,,,성능저하,6,1055000,6.01,-0.01,1.3,7.81,1.0,0.75,0.52,0,2,B2020000003,14,1,14,3.79,188,5,0,1,1.35,1,1,0,1,18.5,28000,0.027,0,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M202000512,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2022-08-08,폐기,폐품,내용연수경과,6,1055000,2.99,3.01,1.3,3.89,0.25,0.75,0.52,0,2,B2020000003,14,1,14,3.79,157,5,1,1,1.35,2,0,1,2,11.0,0,0.0,0,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.99,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000513,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2023-08-19,폐기,폐품,고장/파손,6,1055000,3.94,2.06,1.3,5.12,0.43,0.75,0.52,0,2,B2020000003,14,1,14,3.79,212,6,1,1,1.35,7,3,2,3,1.6,156000,0.148,2,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.94,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000514,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2022-08-02,폐기,폐품,내구연한 경과(노후화),6,1055000,2.67,3.33,1.3,3.47,0.2,0.75,0.52,0,2,B2020000003,14,1,14,3.79,142,6,0,0,1.35,4,1,1,4,9.1,25000,0.024,1,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.67,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000515,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2022-02-24,폐기,폐품,고장/파손,6,1055000,2.72,3.28,1.3,3.54,0.21,0.75,0.52,0,2,B2020000003,14,1,14,3.79,158,6,1,1,1.35,1,0,0,0,27.4,0,0.0,0,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.72,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000516,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2022-06-01,폐기,폐품,고장/파손,6,1055000,2.39,3.61,1.3,3.11,0.16,0.75,0.52,0,2,B2020000003,14,1,14,3.79,167,4,1,0,1.35,2,1,1,1,2.9,124000,0.118,2,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M202000517,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2021-08-12,폐기,폐품,성능저하,6,1055000,1.95,4.05,1.3,2.54,0.11,0.75,0.52,0,2,B2020000003,14,1,14,3.79,187,4,1,1,1.35,0,0,0,0,23.4,0,0.0,0,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,1.95,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000518,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2023-08-12,매각,폐품,고장/파손,6,1055000,3.55,2.45,1.3,4.62,0.35,0.75,0.52,0,2,B2020000003,14,1,14,3.79,134,5,0,0,1.212,2,1,1,2,8.5,100000,0.095,3,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.55,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000519,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2022-08-11,폐기,폐품,노후화,6,1055000,2.95,3.05,1.3,3.84,0.24,0.75,0.52,0,2,B2020000003,14,1,14,3.79,159,4,1,0,1.35,1,0,0,0,25.4,0,0.0,0,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.95,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M202000520,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2026-01-02,,,고장/파손,6,1055000,6.01,-0.01,1.3,7.81,1.0,0.75,0.52,0,2,B2020000003,14,1,14,3.79,130,4,1,0,1.314,3,3,0,2,17.3,61000,0.058,1,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M202000521,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-02-09,2021-08-08,도난,폐품,고장/파손,6,1055000,1.89,4.11,1.3,2.46,0.1,0.75,0.52,0,2,B2020000003,14,1,14,3.79,217,6,0,1,1.35,1,1,1,1,3.6,126000,0.119,2,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M200600735,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-08-19,2025-08-24,,,고장/파손,6,1057000,19.49,-13.49,1.3,25.34,1.0,0.75,0.52,0,8,B2006000004,2,0,2,12.04,180,6,1,1,1.35,12,10,0,2,13.1,557000,0.527,3,1,여름,2,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M200600736,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-08-19,2010-12-12,폐기,폐품,성능저하,6,1057000,4.6,1.4,1.3,5.98,0.59,0.75,0.52,0,8,B2006000004,2,0,2,12.04,197,5,0,0,1.35,3,2,0,2,13.7,42000,0.04,1,0,여름,2,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,4.6,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300493,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-30,2017-02-22,매각,폐품,노후화,6,1025000,3.79,2.21,1.3,4.93,0.4,0.75,0.52,0,12,B2013000005,2,0,2,7.96,216,6,1,0,1.35,7,5,1,2,0.2,158000,0.154,2,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.79,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M201300494,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2013-12-30,2024-10-25,,,수리비용과다,6,1025000,12.12,-6.12,1.3,15.76,1.0,0.75,0.52,0,12,B2013000005,2,0,2,7.96,171,6,1,1,1.35,11,5,0,0,53.3,138000,0.135,3,0,2학기,3,0,1,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M202000522,노트북컴퓨터,노트북컴퓨터,C354,,ERICA,2020-08-05,,,,,6,1055000,5.52,0.48,1.0,5.52,0.85,0.75,0.52,0,8,B2020000006,2,0,2,3.5,186,5,1,1,1.35,4,2,1,3,10.0,35000,0.033,1,0,여름,2,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M202000523,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2020-08-05,2021-08-21,폐기,폐품,노후화,6,1055000,1.49,4.51,1.3,1.94,0.06,0.75,0.52,0,8,B2020000006,2,0,2,3.5,163,4,1,1,1.35,2,1,2,2,5.4,18000,0.017,0,0,여름,2,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,1.49,Y,Valid,,0.0,,0,0,0,,0.0,,2026-02-10
M200901026,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2009-02-13,2011-02-17,폐기,폐품,노후화,6,994000,2.64,3.36,1.3,3.43,0.19,0.75,0.52,0,2,B2009000007,17,1,17,8.03,148,4,1,1,1.35,1,0,0,0,28.1,0,0.0,0,0,겨울,0,1,0,1,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.64,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
