물품고유번호,Start_Date,End_Date,Is_Current,운용상태,사유,관리자
M200500008,2005-01-31,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500009,2005-01-20,2005-02-06,False,취득,신규 취득,박대리
M200500009,2005-02-07,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500010,2005-01-20,2005-01-27,False,취득,신규 취득,박대리
M200500010,2005-01-28,2010-04-30,False,운용,신규운용 승인 및 사용 시작,박대리
M200500010,2010-05-01,2010-06-21,False,불용,수리비용과다,황팀장
M200500010,2010-06-22,2099-12-31,True,처분,폐기 완료,황팀장
M200500011,2005-01-20,2005-02-03,False,취득,신규 취득,박대리
M200500011,2005-02-04,2008-08-10,False,운용,신규운용 승인 및 사용 시작,박대리
M200500011,2008-08-11,2008-10-17,False,불용,수리비용과다,황팀장
M200500011,2008-10-18,2099-12-31,True,처분,폐기 완료,황팀장
M200500012,2005-01-20,2005-02-02,False,취득,신규 취득,박대리
M200500012,2005-02-03,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500013,2005-01-20,2005-01-30,False,취득,신규 취득,박대리
M200500013,2005-01-31,2009-04-16,False,운용,신규운용 승인 및 사용 시작,박대리
M200500013,2009-04-17,2009-05-26,False,불용,노후화(성능저하),황팀장
M200500013,2009-05-27,2099-12-31,True,처분,폐기 완료,황팀장
M200500014,2005-01-20,2005-02-02,False,취득,신규 취득,박대리
M200500014,2005-02-03,2008-08-07,False,운용,신규운용 승인 및 사용 시작,박대리
M200500014,2008-08-08,2008-10-08,False,불용,수리비용과다,황팀장
M200500014,2008-10-09,2099-12-31,True,처분,폐기 완료,황팀장
M200500015,2005-01-20,2005-02-06,False,취득,신규 취득,박대리
M200500015,2005-02-07,2008-11-18,False,운용,신규운용 승인 및 사용 시작,박대리
M200500015,2008-11-19,2008-12-29,False,불용,고장/파손,황팀장
M200500015,2008-12-30,2099-12-31,True,처분,폐기 완료,황팀장
M200500016,2005-01-20,2005-02-13,False,취득,신규 취득,박대리
M200500016,2005-02-14,2007-12-30,False,운용,신규운용 승인 및 사용 시작,박대리
M200500016,2007-12-31,2008-03-05,False,불용,노후화(성능저하),황팀장
M200500016,2008-03-06,2099-12-31,True,처분,폐기 완료,황팀장
M200500017,2005-01-20,2005-01-28,False,취득,신규 취득,박대리
M200500017,2005-01-29,2009-11-24,False,운용,신규운용 승인 및 사용 시작,박대리
M200500017,2009-11-25,2010-02-07,False,불용,노후화(성능저하),황팀장
M200500017,2010-02-08,2099-12-31,True,처분,폐기 완료,황팀장
M200500018,2005-01-20,2005-02-03,False,취득,신규 취득,박대리
M200500018,2005-02-04,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500019,2005-01-20,2005-01-30,False,취득,신규 취득,박대리
M200500019,2005-01-31,2008-06-29,False,운용,신규운용 승인 및 사용 시작,박대리
M200500019,2008-06-30,2008-09-25,False,불용,수리비용과다,황팀장
M200500019,2008-09-26,2099-12-31,True,처분,폐기 완료,황팀장
M200500113,2005-12-01,2005-12-17,False,취득,신규 취득,박대리
M200500113,2005-12-18,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500114,2005-12-01,2005-12-16,False,취득,신규 취득,박대리
M200500114,2005-12-17,2010-01-06,False,운용,신규운용 승인 및 사용 시작,박대리
M200500114,2010-01-07,2010-03-03,False,불용,고장/파손,황팀장
M200500114,2010-03-04,2099-12-31,True,처분,폐기 완료,황팀장
M200500115,2005-12-01,2005-12-08,False,취득,신규 취득,박대리
M200500115,2005-12-09,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500122,2005-01-24,2005-02-02,False,취득,신규 취득,박대리
M200500122,2005-02-03,2009-05-03,False,운용,신규운용 승인 및 사용 시작,박대리
M200500122,2009-05-04,2009-07-01,False,불용,노후화(성능저하),황팀장
M200500122,2009-07-02,2099-12-31,True,처분,폐기 완료,황팀장
M200500123,2005-01-24,2005-01-31,False,취득,신규 취득,박대리
M200500123,2005-02-01,2009-04-16,False,운용,신규운용 승인 및 사용 시작,박대리
M200500123,2009-04-17,2009-07-19,False,불용,노후화(성능저하),황팀장
M200500123,2009-07-20,2099-12-31,True,처분,폐기 완료,황팀장
M200500193,2005-03-13,2005-04-04,False,취득,신규 취득,박대리
M200500193,2005-04-05,2010-07-28,False,운용,신규운용 승인 및 사용 시작,박대리
M200500193,2010-07-29,2010-09-11,False,불용,노후화(성능저하),황팀장
M200500193,2010-09-12,2099-12-31,True,처분,폐기 완료,황팀장
M200500194,2005-03-13,2005-04-08,False,취득,신규 취득,박대리
M200500194,2005-04-09,2008-11-22,False,운용,신규운용 승인 및 사용 시작,박대리
M200500194,2008-11-23,2009-01-19,False,불용,수리비용과다,황팀장
M200500194,2009-01-20,2099-12-31,True,처분,폐기 완료,황팀장
M200500207,2005-08-09,2005-08-16,False,취득,신규 취득,박대리
M200500207,2005-08-17,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500211,2005-12-11,2006-01-01,False,취득,신규 취득,박대리
M200500211,2006-01-02,2010-07-14,False,운용,신규운용 승인 및 사용 시작,박대리
M200500211,2010-07-15,2010-09-08,False,불용,고장/파손,황팀장
M200500211,2010-09-09,2099-12-31,True,처분,폐기 완료,황팀장
M200500212,2005-12-11,2005-12-23,False,취득,신규 취득,박대리
M200500212,2005-12-24,2009-10-01,False,운용,신규운용 승인 및 사용 시작,박대리
M200500212,2009-10-02,2009-12-09,False,불용,노후화(성능저하),황팀장
M200500212,2009-12-10,2099-12-31,True,처분,폐기 완료,황팀장
M200500213,2005-12-11,2005-12-27,False,취득,신규 취득,박대리
M200500213,2005-12-28,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500223,2005-05-06,2005-05-14,False,취득,신규 취득,박대리
M200500223,2005-05-15,2009-11-14,False,운용,신규운용 승인 및 사용 시작,박대리
M200500223,2009-11-15,2010-01-29,False,불용,노후화(성능저하),황팀장
M200500223,2010-01-30,2099-12-31,True,처분,폐기 완료,황팀장
M200500226,2005-02-17,2005-03-01,False,취득,신규 취득,박대리
M200500226,2005-03-02,2009-01-25,False,운용,신규운용 승인 및 사용 시작,박대리
M200500226,2009-01-26,2009-03-21,False,불용,수리비용과다,황팀장
M200500226,2009-03-22,2099-12-31,True,처분,폐기 완료,황팀장
M200500436,2005-05-09,2005-05-21,False,취득,신규 취득,박대리
M200500436,2005-05-22,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500437,2005-05-09,2005-05-27,False,취득,신규 취득,박대리
M200500437,2005-05-28,2008-11-20,False,운용,신규운용 승인 및 사용 시작,박대리
M200500437,2008-11-21,2008-12-29,False,불용,수리비용과다,황팀장
M200500437,2008-12-30,2099-12-31,True,처분,폐기 완료,황팀장
M200500438,2005-05-09,2005-05-27,False,취득,신규 취득,박대리
M200500438,2005-05-28,2009-07-01,False,운용,신규운용 승인 및 사용 시작,박대리
M200500438,2009-07-02,2009-10-01,False,불용,고장/파손,황팀장
M200500438,2009-10-02,2099-12-31,True,처분,폐기 완료,황팀장
M200500439,2005-05-09,2005-05-19,False,취득,신규 취득,박대리
M200500439,2005-05-20,2009-05-26,False,운용,신규운용 승인 및 사용 시작,박대리
M200500439,2009-05-27,2009-07-31,False,불용,수리비용과다,황팀장
M200500439,2009-08-01,2099-12-31,True,처분,폐기 완료,황팀장
M200500440,2005-05-09,2005-05-24,False,취득,신규 취득,박대리
M200500440,2005-05-25,2010-01-08,False,운용,신규운용 승인 및 사용 시작,박대리
M200500440,2010-01-09,2010-03-04,False,불용,수리비용과다,황팀장
M200500440,2010-03-05,2099-12-31,True,처분,폐기 완료,황팀장
M200500441,2005-05-09,2005-05-21,False,취득,신규 취득,박대리
M200500441,2005-05-22,2009-08-18,False,운용,신규운용 승인 및 사용 시작,박대리
M200500441,2009-08-19,2009-10-15,False,불용,노후화(성능저하),황팀장
M200500441,2009-10-16,2099-12-31,True,처분,폐기 완료,황팀장
M200500442,2005-05-09,2005-05-26,False,취득,신규 취득,박대리
M200500442,2005-05-27,2010-01-06,False,운용,신규운용 승인 및 사용 시작,박대리
M200500442,2010-01-07,2010-03-31,False,불용,노후화(성능저하),황팀장
M200500442,2010-04-01,2099-12-31,True,처분,폐기 완료,황팀장
M200500443,2005-05-09,2005-05-25,False,취득,신규 취득,박대리
M200500443,2005-05-26,2010-07-20,False,운용,신규운용 승인 및 사용 시작,박대리
M200500443,2010-07-21,2010-10-16,False,불용,수리비용과다,황팀장
M200500443,2010-10-17,2099-12-31,True,처분,폐기 완료,황팀장
M200500444,2005-05-09,2005-05-13,False,취득,신규 취득,박대리
M200500444,2005-05-14,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500445,2005-05-09,2005-05-19,False,취득,신규 취득,박대리
M200500445,2005-05-20,2008-10-28,False,운용,신규운용 승인 및 사용 시작,박대리
M200500445,2008-10-29,2099-12-31,True,불용,노후화(성능저하),황팀장
M200500446,2005-05-09,2005-05-23,False,취득,신규 취득,박대리
M200500446,2005-05-24,2009-09-04,False,운용,신규운용 승인 및 사용 시작,박대리
M200500446,2009-09-05,2009-12-03,False,불용,노후화(성능저하),황팀장
M200500446,2009-12-04,2099-12-31,True,처분,폐기 완료,황팀장
M200500691,2005-10-11,2005-10-17,False,취득,신규 취득,박대리
M200500691,2005-10-18,2013-11-19,False,운용,신규운용 승인 및 사용 시작,박대리
M200500691,2013-11-20,2014-01-12,False,불용,고장/파손,황팀장
M200500691,2014-01-13,2099-12-31,True,처분,폐기 완료,황팀장
M200500692,2005-10-11,2005-10-29,False,취득,신규 취득,박대리
M200500692,2005-10-30,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500703,2005-10-24,2005-11-01,False,취득,신규 취득,박대리
M200500703,2005-11-02,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500921,2005-05-03,2005-05-21,False,취득,신규 취득,박대리
M200500921,2005-05-22,2008-08-04,False,운용,신규운용 승인 및 사용 시작,박대리
M200500921,2008-08-05,2008-10-07,False,불용,수리비용과다,황팀장
M200500921,2008-10-08,2099-12-31,True,처분,폐기 완료,황팀장
M200501020,2005-07-04,2005-07-18,False,취득,신규 취득,박대리
M200501020,2005-07-19,2011-06-13,False,운용,신규운용 승인 및 사용 시작,박대리
M200501020,2011-06-14,2011-09-06,False,불용,노후화(성능저하),황팀장
M200501020,2011-09-07,2099-12-31,True,처분,폐기 완료,황팀장
M200501021,2005-07-04,2005-07-13,False,취득,신규 취득,박대리
M200501021,2005-07-14,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501022,2005-07-04,2005-07-24,False,취득,신규 취득,박대리
M200501022,2005-07-25,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501046,2005-01-10,2005-01-25,False,취득,신규 취득,박대리
M200501046,2005-01-26,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501114,2005-02-21,2005-03-02,False,취득,신규 취득,박대리
M200501114,2005-03-03,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501115,2005-02-21,2005-03-14,False,취득,신규 취득,박대리
M200501115,2005-03-15,2011-11-22,False,운용,신규운용 승인 및 사용 시작,박대리
M200501115,2011-11-23,2012-02-06,False,불용,노후화(성능저하),황팀장
M200501115,2012-02-07,2099-12-31,True,처분,폐기 완료,황팀장
M200501149,2005-04-23,2005-05-18,False,취득,신규 취득,박대리
M200501149,2005-05-19,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501153,2005-12-26,2006-01-10,False,취득,신규 취득,박대리
M200501153,2006-01-11,2011-12-16,False,운용,신규운용 승인 및 사용 시작,박대리
M200501153,2011-12-17,2012-03-18,False,불용,고장/파손,황팀장
M200501153,2012-03-19,2099-12-31,True,처분,폐기 완료,황팀장
M200501156,2005-01-13,2005-02-07,False,취득,신규 취득,박대리
M200501156,2005-02-08,2010-03-01,False,운용,신규운용 승인 및 사용 시작,박대리
M200501156,2010-03-02,2010-05-28,False,불용,수리비용과다,황팀장
M200501156,2010-05-29,2099-12-31,True,처분,폐기 완료,황팀장
M200501212,2005-08-31,2005-09-10,False,취득,신규 취득,박대리
M200501212,2005-09-11,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501213,2005-08-31,2005-09-10,False,취득,신규 취득,박대리
M200501213,2005-09-11,2010-07-02,False,운용,신규운용 승인 및 사용 시작,박대리
M200501213,2010-07-03,2010-09-26,False,불용,노후화(성능저하),황팀장
M200501213,2010-09-27,2099-12-31,True,처분,폐기 완료,황팀장
M200501259,2005-12-30,2006-01-16,False,취득,신규 취득,박대리
M200501259,2006-01-17,2019-01-30,False,운용,신규운용 승인 및 사용 시작,박대리
M200501259,2019-01-31,2019-03-17,False,불용,노후화(성능저하),황팀장
M200501259,2019-03-18,2099-12-31,True,처분,매각 완료,황팀장
M200501456,2005-03-16,2005-04-03,False,취득,신규 취득,박대리
M200501456,2005-04-04,2015-03-02,False,운용,신규운용 승인 및 사용 시작,박대리
M200501456,2015-03-03,2015-06-04,False,불용,고장/파손,황팀장
M200501456,2015-06-05,2099-12-31,True,처분,폐기 완료,황팀장
M200501480,2005-02-11,2005-03-02,False,취득,신규 취득,박대리
M200501480,2005-03-03,2014-08-18,False,운용,신규운용 승인 및 사용 시작,박대리
M200501480,2014-08-19,2014-10-22,False,불용,수리비용과다,황팀장
M200501480,2014-10-23,2099-12-31,True,처분,폐기 완료,황팀장
M200501481,2005-02-11,2005-02-22,False,취득,신규 취득,박대리
M200501481,2005-02-23,2012-04-29,False,운용,신규운용 승인 및 사용 시작,박대리
M200501481,2012-04-30,2012-07-11,False,불용,노후화(성능저하),황팀장
M200501481,2012-07-12,2099-12-31,True,처분,폐기 완료,황팀장
M200501482,2005-02-11,2005-03-02,False,취득,신규 취득,박대리
M200501482,2005-03-03,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501483,2005-02-11,2005-02-22,False,취득,신규 취득,박대리
M200501483,2005-02-23,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501484,2005-02-11,2005-03-04,False,취득,신규 취득,박대리
M200501484,2005-03-05,2016-07-09,False,운용,신규운용 승인 및 사용 시작,박대리
M200501484,2016-07-10,2016-10-19,False,불용,수리비용과다,황팀장
M200501484,2016-10-20,2099-12-31,True,처분,폐기 완료,황팀장
M200501485,2005-02-11,2005-03-04,False,취득,신규 취득,박대리
M200501485,2005-03-05,2016-12-02,False,운용,신규운용 승인 및 사용 시작,박대리
M200501485,2016-12-03,2017-02-16,False,불용,고장/파손,황팀장
M200501485,2017-02-17,2099-12-31,True,처분,폐기 완료,황팀장
M200501486,2005-02-11,2005-03-01,False,취득,신규 취득,박대리
M200501486,2005-03-02,2011-05-18,False,운용,신규운용 승인 및 사용 시작,박대리
M200501486,2011-05-19,2011-08-12,False,불용,노후화(성능저하),황팀장
M200501486,2011-08-13,2099-12-31,True,처분,폐기 완료,황팀장
M200501487,2005-02-11,2005-02-23,False,취득,신규 취득,박대리
M200501487,2005-02-24,2014-07-27,False,운용,신규운용 승인 및 사용 시작,박대리
M200501487,2014-07-28,2099-12-31,True,불용,고장/파손,황팀장
M200501488,2005-02-11,2005-02-22,False,취득,신규 취득,박대리
M200501488,2005-02-23,2013-04-14,False,운용,신규운용 승인 및 사용 시작,박대리
M200501488,2013-04-15,2013-07-18,False,불용,노후화(성능저하),황팀장
M200501488,2013-07-19,2099-12-31,True,처분,폐기 완료,황팀장
M200501489,2005-02-11,2005-02-23,False,취득,신규 취득,박대리
M200501489,2005-02-24,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501490,2005-02-11,2005-02-20,False,취득,신규 취득,박대리
M200501490,2005-02-21,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501491,2005-02-11,2005-03-09,False,취득,신규 취득,박대리
M200501491,2005-03-10,2017-02-22,False,운용,신규운용 승인 및 사용 시작,박대리
M200501491,2017-02-23,2017-04-25,False,불용,고장/파손,황팀장
M200501491,2017-04-26,2099-12-31,True,처분,폐기 완료,황팀장
M200501492,2005-02-11,2005-02-16,False,취득,신규 취득,박대리
M200501492,2005-02-17,2016-09-15,False,운용,신규운용 승인 및 사용 시작,박대리
M200501492,2016-09-16,2016-12-02,False,불용,고장/파손,황팀장
M200501492,2016-12-03,2099-12-31,True,처분,폐기 완료,황팀장
M200501493,2005-02-11,2005-02-28,False,취득,신규 취득,박대리
M200501493,2005-03-01,2016-11-24,False,운용,신규운용 승인 및 사용 시작,박대리
M200501493,2016-11-25,2017-02-04,False,불용,노후화(성능저하),황팀장
M200501493,2017-02-05,2099-12-31,True,처분,폐기 완료,황팀장
M200501575,2005-02-17,2005-03-08,False,취득,신규 취득,박대리
M200501575,2005-03-09,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200501576,2005-02-17,2005-03-13,False,취득,신규 취득,박대리
M200501576,2005-03-14,2014-10-22,False,운용,신규운용 승인 및 사용 시작,박대리
M200501576,2014-10-23,2014-12-26,False,불용,노후화(성능저하),황팀장
M200501576,2014-12-27,2099-12-31,True,처분,폐기 완료,황팀장
M200501742,2005-11-19,2005-12-05,False,취득,신규 취득,박대리
M200501742,2005-12-06,2012-10-04,False,운용,신규운용 승인 및 사용 시작,박대리
M200501742,2012-10-05,2012-12-30,False,불용,수리비용과다,황팀장
M200501742,2012-12-31,2099-12-31,True,처분,멸실 완료,황팀장
M200501771,2005-06-16,2005-06-30,False,취득,신규 취득,박대리
M200501771,2005-07-01,2013-02-12,False,운용,신규운용 승인 및 사용 시작,박대리
M200501771,2013-02-13,2013-04-18,False,불용,고장/파손,황팀장
M200501771,2013-04-19,2099-12-31,True,처분,폐기 완료,황팀장
M200501879,2005-09-29,2005-10-16,False,취득,신규 취득,박대리
M200501879,2005-10-17,2015-04-20,False,운용,신규운용 승인 및 사용 시작,박대리
M200501879,2015-04-21,2015-06-07,False,불용,수리비용과다,황팀장
M200501879,2015-06-08,2099-12-31,True,처분,폐기 완료,황팀장
M200501880,2005-09-29,2005-10-13,False,취득,신규 취득,박대리
M200501880,2005-10-14,2012-08-20,False,운용,신규운용 승인 및 사용 시작,박대리
M200501880,2012-08-21,2012-10-28,False,불용,수리비용과다,황팀장
M200501880,2012-10-29,2099-12-31,True,처분,폐기 완료,황팀장
M200501881,2005-09-29,2005-10-18,False,취득,신규 취득,박대리
M200501881,2005-10-19,2015-09-11,False,운용,신규운용 승인 및 사용 시작,박대리
M200501881,2015-09-12,2015-12-01,False,불용,고장/파손,황팀장
M200501881,2015-12-02,2099-12-31,True,처분,폐기 완료,황팀장
M200501899,2005-07-29,2005-08-17,False,취득,신규 취득,박대리
M200501899,2005-08-18,2008-09-19,False,운용,신규운용 승인 및 사용 시작,박대리
M200501899,2008-09-20,2008-12-18,False,불용,노후화(성능저하),황팀장
M200501899,2008-12-19,2099-12-31,True,처분,폐기 완료,황팀장
M200501906,2005-02-12,2005-02-25,False,취득,신규 취득,박대리
M200501906,2005-02-26,2018-01-10,False,운용,신규운용 승인 및 사용 시작,박대리
M200501906,2018-01-11,2018-04-05,False,불용,수리비용과다,황팀장
M200501906,2018-04-06,2099-12-31,True,처분,폐기 완료,황팀장
M200502066,2005-03-30,2005-04-10,False,취득,신규 취득,박대리
M200502066,2005-04-11,2009-06-03,False,운용,신규운용 승인 및 사용 시작,박대리
M200502066,2009-06-04,2009-08-11,False,불용,고장/파손,황팀장
M200502066,2009-08-12,2099-12-31,True,처분,폐기 완료,황팀장
M200502067,2005-03-30,2005-04-18,False,취득,신규 취득,박대리
M200502067,2005-04-19,2010-03-14,False,운용,신규운용 승인 및 사용 시작,박대리
M200502067,2010-03-15,2010-05-09,False,불용,수리비용과다,황팀장
M200502067,2010-05-10,2099-12-31,True,처분,폐기 완료,황팀장
M200502120,2006-01-07,2006-01-19,False,취득,신규 취득,박대리
M200502120,2006-01-20,2011-11-30,False,운용,신규운용 승인 및 사용 시작,박대리
M200502120,2011-12-01,2012-01-23,False,불용,노후화(성능저하),황팀장
M200502120,2012-01-24,2099-12-31,True,처분,폐기 완료,황팀장
M200502121,2006-01-07,2006-01-28,False,취득,신규 취득,박대리
M200502121,2006-01-29,2009-03-04,False,운용,신규운용 승인 및 사용 시작,박대리
M200502121,2009-03-05,2009-05-08,False,불용,수리비용과다,황팀장
M200502121,2009-05-09,2099-12-31,True,처분,폐기 완료,황팀장
M200502122,2006-01-07,2006-01-23,False,취득,신규 취득,박대리
M200502122,2006-01-24,2010-10-12,False,운용,신규운용 승인 및 사용 시작,박대리
M200502122,2010-10-13,2010-12-07,False,불용,고장/파손,황팀장
M200502122,2010-12-08,2099-12-31,True,처분,폐기 완료,황팀장
M200502123,2006-01-07,2006-01-24,False,취득,신규 취득,박대리
M200502123,2006-01-25,2009-11-19,False,운용,신규운용 승인 및 사용 시작,박대리
M200502123,2009-11-20,2010-02-07,False,불용,노후화(성능저하),황팀장
M200502123,2010-02-08,2099-12-31,True,처분,폐기 완료,황팀장
M200502124,2006-01-07,2006-01-19,False,취득,신규 취득,박대리
M200502124,2006-01-20,2009-01-04,False,운용,신규운용 승인 및 사용 시작,박대리
M200502124,2009-01-05,2009-02-13,False,불용,노후화(성능저하),황팀장
M200502124,2009-02-14,2099-12-31,True,처분,폐기 완료,황팀장
M200502125,2006-01-07,2006-01-13,False,취득,신규 취득,박대리
M200502125,2006-01-14,2009-08-17,False,운용,신규운용 승인 및 사용 시작,박대리
M200502125,2009-08-18,2009-11-01,False,불용,노후화(성능저하),황팀장
M200502125,2009-11-02,2099-12-31,True,처분,매각 완료,황팀장
M200502126,2006-01-07,2006-02-01,False,취득,신규 취득,박대리
M200502126,2006-02-02,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200502127,2006-01-07,2006-01-21,False,취득,신규 취득,박대리
M200502127,2006-01-22,2010-01-29,False,운용,신규운용 승인 및 사용 시작,박대리
M200502127,2010-01-30,2010-03-12,False,불용,노후화(성능저하),황팀장
M200502127,2010-03-13,2099-12-31,True,처분,폐기 완료,황팀장
M200502128,2006-01-07,2006-01-30,False,취득,신규 취득,박대리
M200502128,2006-01-31,2011-01-31,False,운용,신규운용 승인 및 사용 시작,박대리
M200502128,2011-02-01,2011-04-23,False,불용,노후화(성능저하),황팀장
M200502128,2011-04-24,2099-12-31,True,처분,폐기 완료,황팀장
M200502129,2006-01-07,2006-01-20,False,취득,신규 취득,박대리
M200502129,2006-01-21,2010-03-27,False,운용,신규운용 승인 및 사용 시작,박대리
M200502129,2010-03-28,2010-05-10,False,불용,노후화(성능저하),황팀장
M200502129,2010-05-11,2099-12-31,True,처분,폐기 완료,황팀장
M200502130,2006-01-07,2006-01-30,False,취득,신규 취득,박대리
M200502130,2006-01-31,2009-11-12,False,운용,신규운용 승인 및 사용 시작,박대리
M200502130,2009-11-13,2010-01-04,False,불용,수리비용과다,황팀장
M200502130,2010-01-05,2099-12-31,True,처분,폐기 완료,황팀장
M200502131,2006-01-07,2006-01-20,False,취득,신규 취득,박대리
M200502131,2006-01-21,2010-02-12,False,운용,신규운용 승인 및 사용 시작,박대리
M200502131,2010-02-13,2010-03-28,False,불용,고장/파손,황팀장
M200502131,2010-03-29,2099-12-31,True,처분,폐기 완료,황팀장
M200502132,2006-01-07,2006-01-14,False,취득,신규 취득,박대리
M200502132,2006-01-15,2011-02-05,False,운용,신규운용 승인 및 사용 시작,박대리
M200502132,2011-02-06,2011-05-14,False,불용,노후화(성능저하),황팀장
M200502132,2011-05-15,2099-12-31,True,처분,폐기 완료,황팀장
M200502133,2006-01-07,2006-01-29,False,취득,신규 취득,박대리
M200502133,2006-01-30,2010-12-07,False,운용,신규운용 승인 및 사용 시작,박대리
M200502133,2010-12-08,2011-01-27,False,불용,고장/파손,황팀장
M200502133,2011-01-28,2099-12-31,True,처분,매각 완료,황팀장
M200502134,2006-01-07,2006-01-21,False,취득,신규 취득,박대리
M200502134,2006-01-22,2009-10-15,False,운용,신규운용 승인 및 사용 시작,박대리
M200502134,2009-10-16,2009-11-16,False,불용,수리비용과다,황팀장
M200502134,2009-11-17,2099-12-31,True,처분,폐기 완료,황팀장
M200502135,2006-01-07,2006-01-28,False,취득,신규 취득,박대리
M200502135,2006-01-29,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200502136,2006-01-07,2006-01-22,False,취득,신규 취득,박대리
M200502136,2006-01-23,2007-06-24,False,운용,신규운용 승인 및 사용 시작,박대리
M200502136,2007-06-25,2007-08-16,False,불용,고장/파손,황팀장
M200502136,2007-08-17,2099-12-31,True,처분,폐기 완료,황팀장
M200502137,2006-01-07,2006-01-14,False,취득,신규 취득,박대리
M200502137,2006-01-15,2011-12-03,False,운용,신규운용 승인 및 사용 시작,박대리
M200502137,2011-12-04,2012-03-06,False,불용,노후화(성능저하),황팀장
M200502137,2012-03-07,2099-12-31,True,처분,폐기 완료,황팀장
M200502138,2006-01-07,2006-01-18,False,취득,신규 취득,박대리
M200502138,2006-01-19,2011-06-15,False,운용,신규운용 승인 및 사용 시작,박대리
M200502138,2011-06-16,2011-09-12,False,불용,수리비용과다,황팀장
M200502138,2011-09-13,2099-12-31,True,처분,폐기 완료,황팀장
M200502249,2005-02-16,2005-02-28,False,취득,신규 취득,박대리
M200502249,2005-03-01,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200502366,2005-06-18,2005-07-08,False,취득,신규 취득,박대리
M200502366,2005-07-09,2008-10-06,False,운용,신규운용 승인 및 사용 시작,박대리
M200502366,2008-10-07,2008-11-12,False,불용,노후화(성능저하),황팀장
M200502366,2008-11-13,2099-12-31,True,처분,폐기 완료,황팀장
