G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,정리일자,불용일자,내용연수
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800172,2018-11-16,605000,매각,폐품,내구연한 경과,2018-12-22,2022-11-19,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800174,2018-11-16,605000,매각,중고품,활용부서부재,2018-12-22,2024-02-08,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800178,2018-11-16,605000,매각,폐품,내구연한 경과,2018-12-22,2022-12-13,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800179,2018-11-16,605000,매각,중고품,구형화,2018-12-22,2025-02-21,5
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201800183,2018-04-15,186000,매각,중고품,구형화,2018-04-19,2021-08-18,4
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201800190,2018-10-19,6234000,매각,폐품,내구연한 경과,2018-10-26,2025-10-24,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201800194,2018-10-19,6234000,매각,폐품,내구연한 경과,2018-10-26,2020-03-20,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201800197,2018-10-19,6234000,매각,중고품,활용부서부재,2018-10-26,2020-05-29,6
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201700198,2017-04-02,1656000,매각,정비필요품,수리비용과다,2017-05-07,2025-08-21,5
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201700201,2017-04-02,1656000,매각,정비필요품,수리비용과다,2017-05-07,2019-03-12,5
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201900203,2019-12-11,3425000,매각,폐품,내구연한 경과,2020-01-20,2022-09-19,8
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100213,2021-07-16,4823000,매각,중고품,활용부서부재,2021-08-18,2024-08-30,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100218,2021-07-16,4823000,매각,폐품,내구연한 경과,2021-08-18,2023-04-18,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100227,2021-07-16,4823000,매각,중고품,구형화,2021-08-18,2023-09-11,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202100231,2021-07-16,4823000,매각,폐품,내구연한 경과,2021-08-18,2025-03-20,10
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201900237,2019-07-10,3816000,멸실,중고품,구형화,2019-08-23,2024-09-17,6
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900251,2019-06-03,2284000,매각,폐품,내구연한 경과,2019-07-24,2024-07-30,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900254,2019-06-03,2284000,매각,정비필요품,수리비용과다,2019-07-24,2025-03-13,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900255,2019-06-03,2284000,매각,폐품,내구연한 경과,2019-07-24,2023-03-03,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900257,2019-06-03,2284000,매각,중고품,활용부서부재,2019-07-24,2020-10-17,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900260,2019-06-03,2284000,매각,중고품,구형화,2019-07-24,2022-03-20,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201900262,2019-06-03,2284000,매각,정비필요품,수리비용과다,2019-07-24,2021-03-18,10
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900265,2019-05-18,184000,매각,중고품,활용부서부재,2019-05-21,2020-11-21,5
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",M201500271,2015-03-08,299000,매각,정비필요품,수리비용과다,2015-03-09,2024-09-04,4
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201600275,2016-12-28,372000,매각,정비필요품,수리비용과다,2017-02-07,2020-08-06,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900285,2019-11-14,527000,매각,중고품,활용부서부재,2019-11-17,2022-04-08,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900287,2019-11-14,527000,매각,폐품,내구연한 경과,2019-11-17,2023-05-04,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900289,2019-11-14,527000,매각,정비필요품,수리비용과다,2019-11-17,2021-09-21,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900291,2019-11-14,527000,매각,폐품,내구연한 경과,2019-11-17,2024-05-21,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201700294,2017-09-10,5135000,매각,폐품,내구연한 경과,2017-09-15,2020-01-30,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201700295,2017-09-10,5135000,폐기,정비필요품,수리비용과다,2017-09-15,2025-03-07,5
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201600300,2016-02-15,30349000,매각,폐품,내구연한 경과,2016-02-17,2024-07-25,7
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201600303,2016-02-15,30349000,매각,폐품,내구연한 경과,2016-02-17,2024-07-20,7
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201600305,2016-02-15,30349000,매각,폐품,내구연한 경과,2016-02-17,2022-12-17,7
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201800324,2018-04-24,3776000,매각,폐품,내구연한 경과,2018-06-03,2024-02-28,5
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202100328,2021-08-13,1892000,매각,폐품,내구연한 경과,2021-08-20,2024-02-06,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202100331,2021-08-13,1892000,매각,폐품,내구연한 경과,2021-08-20,2024-06-20,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202100333,2021-08-13,1892000,매각,정비필요품,수리비용과다,2021-08-20,2022-12-31,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202100348,2021-05-29,10691000,매각,폐품,내구연한 경과,2021-05-31,2025-01-05,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202100351,2021-05-29,10691000,매각,중고품,구형화,2021-05-31,2025-10-16,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202100357,2021-05-29,10691000,매각,중고품,활용부서부재,2021-05-31,2023-01-16,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202100361,2021-05-29,10691000,매각,폐품,내구연한 경과,2021-05-31,2024-11-28,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202100362,2021-05-29,10691000,폐기,중고품,구형화,2021-05-31,2025-04-05,10
4322260926066170,"라우터, Netgear, (US)PR60X",M202000364,2020-09-18,5624000,매각,폐품,내구연한 경과,2020-09-24,2023-10-04,6
4322260926066170,"라우터, Netgear, (US)PR60X",M202000367,2020-09-18,5624000,매각,정비필요품,수리비용과다,2020-09-24,2024-03-13,6
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201800379,2018-08-12,8246000,매각,정비필요품,수리비용과다,2018-08-17,2023-12-30,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201800382,2018-08-12,8246000,매각,폐품,내구연한 경과,2018-08-17,2020-08-28,10
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",M201500384,2015-05-12,5878000,매각,중고품,구형화,2015-07-04,2017-02-08,7
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202200390,2022-04-04,8110000,폐기,중고품,구형화,2022-05-31,2024-11-24,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202200424,2022-04-04,8110000,매각,중고품,구형화,2022-05-31,2024-10-18,10
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900429,2019-01-04,754000,매각,폐품,내구연한 경과,2019-01-09,2021-11-03,5
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900431,2019-01-04,754000,매각,정비필요품,수리비용과다,2019-01-09,2024-08-27,5
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900433,2019-01-04,754000,매각,폐품,내구연한 경과,2019-01-09,2025-10-02,5
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900436,2019-08-16,364000,매각,정비필요품,수리비용과다,2019-10-15,2022-11-05,5
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900437,2019-08-16,364000,매각,폐품,내구연한 경과,2019-10-15,2025-06-16,5
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201900439,2019-08-16,364000,매각,폐품,내구연한 경과,2019-10-15,2023-02-15,5
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202100446,2021-12-29,1498000,멸실,중고품,구형화,2022-01-01,2025-02-10,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500447,2015-12-11,2130000,매각,중고품,구형화,2016-01-24,2025-03-21,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500449,2015-12-11,2130000,매각,폐품,내구연한 경과,2016-01-24,2020-08-23,10
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M201500451,2015-12-11,2130000,매각,중고품,활용부서부재,2016-01-24,2020-04-27,10
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202200466,2022-06-20,8693000,매각,폐품,내구연한 경과,2022-06-26,2025-10-08,5
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201500488,2015-12-06,2504000,매각,정비필요품,수리비용과다,2016-01-18,2022-03-30,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201500489,2015-12-06,2504000,매각,정비필요품,수리비용과다,2016-01-18,2022-01-06,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600491,2016-07-15,13358000,폐기,폐품,내구연한 경과,2016-07-20,2025-08-17,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600493,2016-07-15,13358000,매각,정비필요품,수리비용과다,2016-07-20,2023-10-05,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600494,2016-07-15,13358000,매각,폐품,내구연한 경과,2016-07-20,2021-12-21,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600497,2016-07-15,13358000,매각,폐품,내구연한 경과,2016-07-20,2021-06-03,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600500,2016-07-15,13358000,매각,폐품,내구연한 경과,2016-07-20,2025-01-05,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600510,2016-07-15,13358000,매각,폐품,내구연한 경과,2016-07-20,2019-10-18,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600511,2016-07-15,13358000,매각,중고품,구형화,2016-07-20,2018-09-22,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600513,2016-07-15,13358000,매각,폐품,내구연한 경과,2016-07-20,2025-03-02,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600516,2016-07-15,13358000,매각,정비필요품,수리비용과다,2016-07-20,2022-06-19,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600524,2016-07-15,13358000,매각,정비필요품,수리비용과다,2016-07-20,2024-08-30,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201600530,2016-07-15,13358000,매각,폐품,내구연한 경과,2016-07-20,2020-09-01,10
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900537,2019-05-12,496000,매각,중고품,구형화,2019-05-16,2022-05-22,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900539,2019-05-12,496000,매각,중고품,활용부서부재,2019-05-16,2022-05-27,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201900541,2019-05-12,496000,매각,중고품,구형화,2019-05-16,2022-06-22,5
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201900559,2019-08-30,8302000,매각,폐품,내구연한 경과,2019-09-03,2022-04-20,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201900560,2019-08-30,8302000,매각,폐품,내구연한 경과,2019-09-03,2023-07-30,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201900561,2019-08-30,8302000,매각,폐품,내구연한 경과,2019-09-03,2024-09-06,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201900562,2019-08-30,8302000,매각,중고품,활용부서부재,2019-09-03,2024-07-01,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201900563,2019-08-30,8302000,매각,폐품,내구연한 경과,2019-09-03,2023-08-10,10
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900569,2019-05-10,10192000,매각,중고품,구형화,2019-05-15,2022-12-27,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900571,2019-05-10,10192000,매각,폐품,내구연한 경과,2019-05-15,2024-10-25,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900574,2019-05-10,10192000,매각,정비필요품,수리비용과다,2019-05-15,2021-07-12,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900575,2019-05-10,10192000,매각,폐품,내구연한 경과,2019-05-15,2024-10-17,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202200587,2022-06-25,9876000,매각,폐품,내구연한 경과,2022-06-26,2024-10-09,5
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201600594,2016-10-06,6564000,매각,폐품,내구연한 경과,2016-12-05,2023-10-08,6
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201600595,2016-10-06,6564000,매각,폐품,내구연한 경과,2016-12-05,2025-07-14,6
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202200606,2022-04-19,9260000,폐기,중고품,구형화,2022-04-21,2023-10-25,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202200610,2022-04-19,9260000,매각,정비필요품,수리비용과다,2022-04-21,2024-11-17,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M202200620,2022-04-19,9260000,매각,정비필요품,수리비용과다,2022-04-21,2024-09-18,10
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201500629,2015-06-06,720000,매각,중고품,활용부서부재,2015-06-13,2020-04-29,10
5610159725964887,"서랍형수납장, 라온시스템가구, D-400-60-2, 500×400×558mm",M201500632,2015-06-06,720000,폐기,정비필요품,수리비용과다,2015-06-13,2022-11-03,10
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201500677,2015-04-03,2465000,폐기,중고품,구형화,2015-05-27,2021-11-18,5
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800688,2018-10-08,5840000,매각,중고품,활용부서부재,2018-11-08,2025-11-18,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800691,2018-10-08,5840000,매각,정비필요품,수리비용과다,2018-11-08,2025-03-05,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800692,2018-10-08,5840000,매각,중고품,활용부서부재,2018-11-08,2024-05-15,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800693,2018-10-08,5840000,매각,폐품,내구연한 경과,2018-11-08,2024-05-03,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800696,2018-10-08,5840000,매각,폐품,내구연한 경과,2018-11-08,2022-01-21,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800699,2018-10-08,5840000,매각,정비필요품,수리비용과다,2018-11-08,2022-02-19,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800700,2018-10-08,5840000,매각,중고품,구형화,2018-11-08,2023-04-10,10
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",M201800702,2018-10-08,5840000,폐기,폐품,내구연한 경과,2018-11-08,2022-05-05,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500705,2015-05-07,3662000,폐기,중고품,구형화,2015-05-09,2020-06-06,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500706,2015-05-07,3662000,폐기,중고품,활용부서부재,2015-05-09,2020-04-20,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500711,2015-05-07,3662000,매각,폐품,내구연한 경과,2015-05-09,2022-10-22,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500713,2015-05-07,3662000,매각,폐품,내구연한 경과,2015-05-09,2020-11-15,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M201500714,2015-05-07,3662000,매각,중고품,구형화,2015-05-09,2025-01-28,10
