점검수리일자,물품고유번호,G2B_목록번호,G2B_목록명,운용부서,점검수리구분,처리결과,수리비용,장애심각도,비고
2007-10-19,M200600726,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,87000,2,노트북컴퓨터 수리
2009-01-19,M200600726,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,56000,2,노트북컴퓨터 수리
2007-09-07,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,13000,1,노트북컴퓨터 장애점검
2008-10-29,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2008-12-11,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,106000,2,노트북컴퓨터 수리
2009-07-10,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2009-07-17,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,24000,1,노트북컴퓨터 정기점검
2009-08-08,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2011-02-03,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2013-11-24,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,22000,1,노트북컴퓨터 정기점검
2015-04-09,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,22000,1,노트북컴퓨터 장애점검
2017-07-06,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,25000,1,노트북컴퓨터 장애점검
2019-08-31,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,56000,2,노트북컴퓨터 수리
2021-07-26,M200600727,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,교체권고,140000,3,노트북컴퓨터 부품교체
2007-02-02,M200600728,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-03-09,M200600728,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-04-09,M200600728,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,67000,2,노트북컴퓨터 수리
2006-09-01,M200600729,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,9000,1,노트북컴퓨터 장애점검
2006-09-30,M200600729,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,24000,1,노트북컴퓨터 정기점검
2006-10-12,M200600729,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-09-28,M200600729,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,64000,2,노트북컴퓨터 수리
2008-06-30,M200600730,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2009-02-14,M200600730,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-02-13,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-02-26,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,26000,1,노트북컴퓨터 정기점검
2009-12-09,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,78000,2,노트북컴퓨터 수리
2011-11-20,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,22000,1,노트북컴퓨터 장애점검
2013-07-15,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2014-07-22,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,27000,1,노트북컴퓨터 장애점검
2017-07-05,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,100000,2,노트북컴퓨터 수리
2017-09-22,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,15000,1,노트북컴퓨터 장애점검
2018-02-22,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,27000,1,노트북컴퓨터 장애점검
2020-04-07,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,93000,3,노트북컴퓨터 부품교체
2022-04-03,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-09-28,M200600731,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2006-07-06,M200600732,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2006-12-05,M200600732,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2008-04-12,M200600732,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,24000,1,노트북컴퓨터 장애점검
2015-04-04,M201300475,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2015-05-23,M201300475,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2014-09-12,M201300476,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,21000,1,노트북컴퓨터 장애점검
2015-05-08,M201300476,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2016-12-03,M201300476,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2018-10-11,M201300476,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2018-11-01,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2020-12-05,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,56000,2,노트북컴퓨터 수리
2021-02-13,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-04-15,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-09-03,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-02-10,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2024-12-30,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,76000,3,노트북컴퓨터 부품교체
2025-01-06,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,16000,1,노트북컴퓨터 장애점검
2025-04-22,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,90000,2,노트북컴퓨터 수리
2025-08-16,M201300477,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,11000,1,노트북컴퓨터 장애점검
2015-02-02,M201300478,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,55000,2,노트북컴퓨터 수리
2015-07-22,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,12000,1,노트북컴퓨터 정기점검
2016-08-07,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,29000,1,노트북컴퓨터 정기점검
2017-06-22,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,20000,1,노트북컴퓨터 장애점검
2017-08-27,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2017-11-26,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,91000,2,노트북컴퓨터 수리
2019-04-13,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,72000,2,노트북컴퓨터 수리
2021-03-08,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,18000,1,노트북컴퓨터 장애점검
2022-03-20,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-06-04,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,115000,2,노트북컴퓨터 수리
2022-12-31,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,21000,1,노트북컴퓨터 정기점검
2025-04-14,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2025-11-14,M201300479,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,교체권고,133000,3,노트북컴퓨터 부품교체
2015-08-11,M201300480,4321150324343967,노트북컴퓨터,,장애점검,경미수리,25000,0,노트북컴퓨터 장애점검
2018-01-08,M201300480,4321150324343967,노트북컴퓨터,,정기점검,정상,0,0,노트북컴퓨터 정기점검
2018-09-25,M201300480,4321150324343967,노트북컴퓨터,,수리,주요수리,78000,2,노트북컴퓨터 수리
2019-08-27,M201300480,4321150324343967,노트북컴퓨터,,장애점검,경미수리,18000,1,노트북컴퓨터 장애점검
2019-10-08,M201300480,4321150324343967,노트북컴퓨터,,정기점검,정상,0,0,노트북컴퓨터 정기점검
2020-09-19,M201300480,4321150324343967,노트북컴퓨터,,장애점검,경미수리,18000,1,노트북컴퓨터 장애점검
2020-10-30,M201300480,4321150324343967,노트북컴퓨터,,정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-02-09,M201300480,4321150324343967,노트북컴퓨터,,부품교체,주요수리,101000,3,노트북컴퓨터 부품교체
2021-02-28,M201300480,4321150324343967,노트북컴퓨터,,부품교체,교체권고,125000,3,노트북컴퓨터 부품교체
2022-01-08,M201300480,4321150324343967,노트북컴퓨터,,수리,주요수리,84000,2,노트북컴퓨터 수리
2024-08-28,M201300480,4321150324343967,노트북컴퓨터,,장애점검,경미수리,16000,1,노트북컴퓨터 장애점검
2024-09-23,M201300480,4321150324343967,노트북컴퓨터,,부품교체,주요수리,104000,3,노트북컴퓨터 부품교체
2014-04-17,M201300481,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,94000,2,노트북컴퓨터 수리
2016-01-21,M201300481,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2016-08-28,M201300483,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2014-03-28,M201300485,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,24000,1,노트북컴퓨터 장애점검
2016-05-27,M201300485,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2020-04-30,M201300485,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,27000,1,노트북컴퓨터 장애점검
2022-05-20,M201300485,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,109000,3,노트북컴퓨터 부품교체
2015-08-10,M201300486,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,24000,1,노트북컴퓨터 정기점검
2016-03-25,M201300486,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2016-04-12,M201300486,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,11000,1,노트북컴퓨터 정기점검
2016-05-02,M201300486,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2016-09-23,M201300487,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,25000,1,노트북컴퓨터 정기점검
2016-12-07,M201300487,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2017-05-28,M201300487,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,79000,3,노트북컴퓨터 부품교체
2017-09-30,M201300487,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,15000,1,노트북컴퓨터 장애점검
2015-06-03,M201300488,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,29000,1,노트북컴퓨터 정기점검
2015-09-02,M201300488,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,73000,2,노트북컴퓨터 수리
2021-01-26,M202000508,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-10-04,M202000508,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-02-07,M202000508,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,19000,1,노트북컴퓨터 장애점검
2021-01-06,M202000509,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-04-14,M202000509,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,26000,1,노트북컴퓨터 장애점검
2021-04-09,M202000510,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,72000,3,노트북컴퓨터 부품교체
2023-05-28,M202000510,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,12000,1,노트북컴퓨터 정기점검
2023-08-01,M202000510,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-03-26,M202000512,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,28000,0,노트북컴퓨터 장애점검
2020-07-04,M202000513,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,14000,1,노트북컴퓨터 장애점검
2022-03-23,M202000513,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-10-29,M202000513,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,110000,2,노트북컴퓨터 수리
2023-12-19,M202000513,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,53000,2,노트북컴퓨터 수리
2020-07-05,M202000514,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,28000,1,노트북컴퓨터 장애점검
2021-01-29,M202000514,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-05-04,M202000514,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-05-13,M202000514,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-09-04,M202000515,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-08-18,M202000515,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2023-11-06,M202000516,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,27000,1,노트북컴퓨터 장애점검
2021-02-23,M202000517,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,27000,0,노트북컴퓨터 장애점검
2022-07-26,M202000517,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,31000,1,노트북컴퓨터 장애점검
2023-04-02,M202000517,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,103000,3,노트북컴퓨터 부품교체
2023-05-08,M202000517,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2023-08-19,M202000517,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,63000,2,노트북컴퓨터 수리
2022-01-06,M202000518,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,13000,1,노트북컴퓨터 장애점검
2021-04-01,M202000519,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-04-12,M202000519,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-08-27,M202000519,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,90000,2,노트북컴퓨터 수리
2022-12-03,M202000519,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2023-03-12,M202000519,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,17000,1,노트북컴퓨터 장애점검
2023-08-13,M202000519,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,84000,2,노트북컴퓨터 수리
2023-12-26,M202000519,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2021-12-03,M202000520,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2022-10-16,M202000520,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,106000,3,노트북컴퓨터 부품교체
2023-01-10,M202000520,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,103000,2,노트북컴퓨터 수리
2023-10-12,M202000520,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,17000,1,노트북컴퓨터 정기점검
2020-07-18,M202000521,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-05-30,M200600735,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,15000,1,노트북컴퓨터 장애점검
2008-06-04,M200600736,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,54000,3,노트북컴퓨터 부품교체
2008-08-07,M200600736,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2016-12-31,M201300493,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,111000,2,노트북컴퓨터 수리
2017-01-23,M201300493,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2017-03-27,M201300493,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,17000,1,노트북컴퓨터 장애점검
2016-07-24,M201300494,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,18000,1,노트북컴퓨터 장애점검
2017-12-29,M201300494,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,117000,3,노트북컴퓨터 부품교체
