G2B_목록번호,G2B_목록명,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,승인상태,취득정리구분,운용부서코드,비고,수량
4016160225676461,공기청정기,ERICA,2008-07-16,773000,2008-07-21,경상대학RC행정팀(ERICA),처분,9,확정,자체구입,C364,,1
4016160225676461,공기청정기,ERICA,2008-10-15,787000,2008-10-20,학생지원팀(ERICA),운용,9,확정,기증,A320,,1
4016160225676461,공기청정기,ERICA,2008-12-12,804000,2008-12-18,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,사무실 환경 개선,1
4016160225676461,공기청정기,ERICA,2009-02-05,746000,2009-02-08,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2009-06-15,783000,2009-06-19,경상대학RC행정팀(ERICA),운용,9,확정,자체구입,C364,,1
4016160225676461,공기청정기,ERICA,2009-06-18,746000,2009-06-22,공학대학RC행정팀(ERICA),처분,9,확정,자체구입,C352,,1
4016160225676461,공기청정기,ERICA,2009-08-19,782000,2009-08-25,학생지원팀(ERICA),운용,9,확정,자체구입,A320,,1
4016160225676461,공기청정기,ERICA,2014-03-28,763000,2014-04-02,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2014-12-13,820000,2014-12-16,글로벌문화통상대학RC행정팀(ERICA),운용,9,확정,자체구입,C360,사무실 환경 개선,1
4016160225676461,공기청정기,ERICA,2015-06-06,831000,2015-06-13,학생지원팀(ERICA),처분,9,확정,자체구입,A320,강의실 미세먼지 관리,1
4016160225676461,공기청정기,ERICA,2016-01-06,810000,2016-01-11,소프트웨어융합대학RC행정팀(ERICA),운용,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2016-03-03,766000,2016-03-08,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2016-03-11,788000,2016-03-15,경상대학RC행정팀(ERICA),처분,9,확정,자체구입,C364,강의실 미세먼지 관리,1
4016160225676461,공기청정기,ERICA,2016-12-15,761000,2016-12-21,학생지원팀(ERICA),운용,9,확정,자체구입,A320,,1
4016160225676461,공기청정기,ERICA,2016-12-24,795000,2016-12-29,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,사무실 환경 개선,1
4016160225676461,공기청정기,ERICA,2017-01-15,805000,2017-01-18,시설팀(ERICA),불용,9,확정,자체구입,A351,강의실 미세먼지 관리,1
4016160225676461,공기청정기,ERICA,2017-07-22,781000,2017-07-28,글로벌문화통상대학RC행정팀(ERICA),운용,9,확정,자체구입,C360,,1
4016160225676461,공기청정기,ERICA,2017-07-24,792000,2017-07-30,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2017-10-13,790000,2017-10-16,시설팀(ERICA),처분,9,확정,자체구입,A351,,1
4016160225676461,공기청정기,ERICA,2017-10-17,768000,2017-10-23,공학대학RC행정팀(ERICA),처분,9,확정,자체구입,C352,강의실 미세먼지 관리,1
4016160225676461,공기청정기,ERICA,2017-11-13,770000,2017-11-16,공학대학RC행정팀(ERICA),운용,9,확정,자체구입,C352,,1
4016160225676461,공기청정기,ERICA,2018-05-08,834000,2018-05-15,시설팀(ERICA),운용,9,확정,자체구입,A351,사무실 환경 개선,1
4016160225676461,공기청정기,ERICA,2018-08-29,814000,2018-09-05,학생지원팀(ERICA),처분,9,확정,자체구입,A320,,1
4016160225676461,공기청정기,ERICA,2018-11-30,844000,2018-12-05,소프트웨어융합대학RC행정팀(ERICA),운용,9,확정,자체구입,C354,강의실 미세먼지 관리,1
4016160225676461,공기청정기,ERICA,2018-12-23,772000,2018-12-29,소프트웨어융합대학RC행정팀(ERICA),취득,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2019-02-07,820000,2019-02-12,경상대학RC행정팀(ERICA),처분,9,확정,자체구입,C364,,1
4016160225676461,공기청정기,ERICA,2019-06-25,771000,2019-07-02,학생지원팀(ERICA),운용,9,확정,자체구입,A320,,1
4016160225676461,공기청정기,ERICA,2019-12-22,838000,2019-12-29,공학대학RC행정팀(ERICA),운용,9,확정,자체구입,C352,강의실 미세먼지 관리,1
4016160225676461,공기청정기,ERICA,2020-04-25,781000,2020-05-02,경상대학RC행정팀(ERICA),처분,9,확정,자체구입,C364,,1
4016160225676461,공기청정기,ERICA,2024-09-13,832000,2024-09-19,글로벌문화통상대학RC행정팀(ERICA),운용,9,확정,자체구입,C360,,1
4016160225676461,공기청정기,ERICA,2024-10-17,814000,2024-10-24,학생지원팀(ERICA),운용,9,확정,자체구입,A320,,1
4016160225676461,공기청정기,ERICA,2025-01-01,857000,2025-01-04,소프트웨어융합대학RC행정팀(ERICA),운용,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2025-02-24,798000,2025-03-03,소프트웨어융합대학RC행정팀(ERICA),운용,9,확정,자체구입,C354,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2005-02-04,747000,2005-02-11,자연과학대학RC행정팀(서울),처분,9,확정,자체구입,C192,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2005-04-07,753000,2005-04-11,사회과학대학RC행정팀(서울),처분,9,확정,자체제작,C190,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2005-04-07,760000,2005-04-12,학생지원팀(서울),운용,9,확정,자체구입,A124,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2005-09-19,761000,2005-09-24,자연과학대학RC행정팀(서울),처분,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2005-12-15,773000,2005-12-19,사회과학대학RC행정팀(서울),취득,9,확정,자체구입,C190,,1
4016160225676461,공기청정기,서울,2006-02-05,728000,2006-02-11,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2006-02-22,791000,2006-02-26,학생지원팀(서울),처분,9,확정,자체구입,A124,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2006-05-27,750000,2006-05-30,학생지원팀(서울),불용,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2006-06-28,784000,2006-07-03,공과대학RC행정팀(서울),운용,9,확정,자체구입,C182,,1
4016160225676461,공기청정기,서울,2006-10-02,750000,2006-10-06,공과대학RC행정팀(서울),처분,9,확정,자체구입,C182,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2007-02-20,793000,2007-02-26,공과대학RC행정팀(서울),처분,9,확정,자체구입,C182,,1
4016160225676461,공기청정기,서울,2007-05-16,757000,2007-05-19,자연과학대학RC행정팀(서울),불용,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2007-05-19,727000,2007-05-23,공과대학RC행정팀(서울),처분,9,확정,자체구입,C182,,1
4016160225676461,공기청정기,서울,2008-01-27,740000,2008-02-03,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2008-05-07,763000,2008-05-12,자연과학대학RC행정팀(서울),처분,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2008-07-02,773000,2008-07-06,사회과학대학RC행정팀(서울),처분,9,확정,자체구입,C190,,1
4016160225676461,공기청정기,서울,2008-07-26,790000,2008-07-30,커리어개발팀(서울),처분,9,확정,자체구입,A125,,1
4016160225676461,공기청정기,서울,2008-10-08,732000,2008-10-13,커리어개발팀(서울),운용,9,확정,자체구입,A125,,1
4016160225676461,공기청정기,서울,2008-10-26,741000,2008-10-30,학생지원팀(서울),처분,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2009-02-07,736000,2009-02-10,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2009-03-05,765000,2009-03-09,학생지원팀(서울),운용,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2009-07-01,751000,2009-07-06,인문과학대학RC행정팀(서울),처분,9,확정,자체구입,C188,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2009-07-02,768000,2009-07-08,자연과학대학RC행정팀(서울),처분,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2009-08-25,775000,2009-08-29,공과대학RC행정팀(서울),취득,9,확정,자체구입,C182,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2009-09-24,785000,2009-09-27,학생지원팀(서울),처분,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2009-10-11,777000,2009-10-15,인문과학대학RC행정팀(서울),처분,9,확정,자체구입,C188,,1
4016160225676461,공기청정기,서울,2015-05-09,819000,2015-05-13,자연과학대학RC행정팀(서울),운용,9,확정,자체제작,C192,,1
4016160225676461,공기청정기,서울,2015-05-23,785000,2015-05-29,학생지원팀(서울),처분,9,확정,자체구입,A124,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2015-09-17,766000,2015-09-24,사회과학대학RC행정팀(서울),운용,9,확정,자체구입,C190,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2015-11-06,833000,2015-11-09,자연과학대학RC행정팀(서울),처분,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2016-02-01,803000,2016-02-07,공과대학RC행정팀(서울),운용,9,확정,자체구입,C182,,1
4016160225676461,공기청정기,서울,2016-02-15,834000,2016-02-19,학생지원팀(서울),운용,9,확정,자체구입,A124,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2016-02-20,816000,2016-02-25,사회과학대학RC행정팀(서울),운용,9,확정,자체구입,C190,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2016-04-02,759000,2016-04-07,자연과학대학RC행정팀(서울),처분,9,확정,자체구입,C192,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2016-08-15,797000,2016-08-21,학생지원팀(서울),처분,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2017-03-13,788000,2017-03-20,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2017-03-24,826000,2017-03-29,공과대학RC행정팀(서울),불용,9,확정,자체구입,C182,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2017-04-29,808000,2017-05-06,공과대학RC행정팀(서울),처분,9,확정,자체구입,C182,,1
4016160225676461,공기청정기,서울,2017-09-05,764000,2017-09-10,사회과학대학RC행정팀(서울),운용,9,확정,자체구입,C190,,1
4016160225676461,공기청정기,서울,2017-10-23,814000,2017-10-28,공과대학RC행정팀(서울),처분,9,확정,자체구입,C182,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2018-05-03,841000,2018-05-10,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2018-05-08,828000,2018-05-12,학생지원팀(서울),운용,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2018-06-16,820000,2018-06-23,,처분,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2018-08-25,768000,2018-08-30,인문과학대학RC행정팀(서울),운용,9,확정,자체구입,C188,,1
4016160225676461,공기청정기,서울,2018-10-24,793000,2018-10-27,학생지원팀(서울),처분,9,확정,자체구입,A124,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2018-11-05,804000,2018-11-09,커리어개발팀(서울),처분,9,확정,자체구입,A125,,1
4016160225676461,공기청정기,서울,2018-12-21,838000,2018-12-26,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2019-01-23,841000,2019-01-28,자연과학대학RC행정팀(서울),처분,9,확정,자체구입,C192,사무실 환경 개선,1
4016160225676461,공기청정기,서울,2019-02-17,836000,2019-02-23,커리어개발팀(서울),운용,9,확정,자체구입,A125,,1
4016160225676461,공기청정기,서울,2019-05-08,815000,2019-05-15,학생지원팀(서울),처분,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2019-06-27,789000,2019-07-03,공과대학RC행정팀(서울),처분,9,확정,자체구입,C182,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2020-05-30,855000,2020-06-05,인문과학대학RC행정팀(서울),운용,9,확정,자체구입,C188,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2025-03-08,811000,2025-03-15,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,,1
4016160225676461,공기청정기,서울,2025-05-10,864000,2025-05-16,공과대학RC행정팀(서울),운용,9,확정,자체구입,C182,,1
4016160225676461,공기청정기,서울,2025-06-17,856000,2025-06-20,자연과학대학RC행정팀(서울),운용,9,확정,자체구입,C192,강의실 미세먼지 관리,1
4016160225676461,공기청정기,서울,2025-08-12,871000,2025-08-17,학생지원팀(서울),운용,9,확정,자체구입,A124,,1
4016160225676461,공기청정기,서울,2025-12-02,816000,2025-12-06,학생지원팀(서울),운용,9,확정,자체구입,A124,,1
4320180323809899,하드디스크드라이브,ERICA,2005-09-15,19644000,2005-09-22,시설팀(ERICA),운용,7,확정,자체구입,A351,,2
4320180323809899,하드디스크드라이브,ERICA,2005-09-15,19644000,2005-09-22,시설팀(ERICA),처분,7,확정,자체구입,A351,,2
4320180323809899,하드디스크드라이브,ERICA,2005-12-17,14166000,2005-12-23,공학대학RC행정팀(ERICA),운용,7,확정,자체구입,C352,연구 데이터 저장용,1
4320180323809899,하드디스크드라이브,ERICA,2005-12-17,14166000,2005-12-23,공학대학RC행정팀(ERICA),처분,7,확정,자체구입,C352,연구 데이터 저장용,2
4320180323809899,하드디스크드라이브,ERICA,2006-01-05,4921000,2006-01-12,소프트웨어융합대학RC행정팀(ERICA),운용,7,확정,자체구입,C354,,1
4320180323809899,하드디스크드라이브,ERICA,2006-08-26,9358000,2006-08-29,공학대학RC행정팀(ERICA),처분,7,확정,자체구입,C352,,2
4320180323809899,하드디스크드라이브,ERICA,2007-01-21,5097000,2007-01-25,시설팀(ERICA),처분,7,확정,자체구입,A351,연구 데이터 저장용,1
4320180323809899,하드디스크드라이브,ERICA,2007-08-20,14091000,2007-08-26,소프트웨어융합대학RC행정팀(ERICA),처분,7,확정,자체제작,C354,,3
4320180323809899,하드디스크드라이브,ERICA,2008-04-14,14451000,2008-04-19,공학대학RC행정팀(ERICA),운용,7,확정,자체구입,C352,,2
4320180323809899,하드디스크드라이브,ERICA,2008-04-14,14451000,2008-04-19,공학대학RC행정팀(ERICA),처분,7,확정,자체구입,C352,,1
4320180323809899,하드디스크드라이브,ERICA,2008-06-17,10142000,2008-06-20,글로벌문화통상대학RC행정팀(ERICA),운용,7,확정,자체구입,C360,서버 증설용 스토리지,1
4320180323809899,하드디스크드라이브,ERICA,2008-06-17,10142000,2008-06-20,글로벌문화통상대학RC행정팀(ERICA),처분,7,확정,자체구입,C360,서버 증설용 스토리지,1
4320180323809899,하드디스크드라이브,ERICA,2008-08-28,14643000,2008-09-01,소프트웨어융합대학RC행정팀(ERICA),운용,7,확정,자체구입,C354,,2
4320180323809899,하드디스크드라이브,ERICA,2008-08-28,14643000,2008-09-01,소프트웨어융합대학RC행정팀(ERICA),처분,7,확정,자체구입,C354,,1
4320180323809899,하드디스크드라이브,ERICA,2013-03-21,4937000,2013-03-26,소프트웨어융합대학RC행정팀(ERICA),운용,7,확정,자체구입,C354,,1
4320180323809899,하드디스크드라이브,ERICA,2013-04-06,20440000,2013-04-11,시설팀(ERICA),운용,7,확정,자체제작,A351,,3
4320180323809899,하드디스크드라이브,ERICA,2013-04-06,20440000,2013-04-11,시설팀(ERICA),처분,7,확정,자체제작,A351,,1
4320180323809899,하드디스크드라이브,ERICA,2013-08-24,14811000,2013-08-29,공학대학RC행정팀(ERICA),처분,7,확정,자체구입,C352,,3
4320180323809899,하드디스크드라이브,ERICA,2014-01-12,5268000,2014-01-19,시설팀(ERICA),운용,7,확정,자체구입,A351,,1
4320180323809899,하드디스크드라이브,ERICA,2015-07-26,15342000,2015-07-31,소프트웨어융합대학RC행정팀(ERICA),처분,7,확정,자체구입,C354,,3
4320180323809899,하드디스크드라이브,ERICA,2015-09-13,10146000,2015-09-20,공학대학RC행정팀(ERICA),처분,7,확정,자체구입,C352,,2
4320180323809899,하드디스크드라이브,ERICA,2016-03-13,15972000,2016-03-17,공학대학RC행정팀(ERICA),운용,7,확정,자체구입,C352,,1
4320180323809899,하드디스크드라이브,ERICA,2016-03-13,15972000,2016-03-17,공학대학RC행정팀(ERICA),처분,7,확정,자체구입,C352,,2
4320180323809899,하드디스크드라이브,ERICA,2017-04-20,10024000,2017-04-26,글로벌문화통상대학RC행정팀(ERICA),처분,7,확정,자체구입,C360,,2
4320180323809899,하드디스크드라이브,ERICA,2017-07-04,15780000,2017-07-09,소프트웨어융합대학RC행정팀(ERICA),불용,7,확정,자체구입,C354,,1
4320180323809899,하드디스크드라이브,ERICA,2017-07-04,15780000,2017-07-09,소프트웨어융합대학RC행정팀(ERICA),운용,7,확정,자체구입,C354,,1
4320180323809899,하드디스크드라이브,ERICA,2017-07-04,15780000,2017-07-09,소프트웨어융합대학RC행정팀(ERICA),처분,7,확정,자체구입,C354,,1
4320180323809899,하드디스크드라이브,ERICA,2020-03-21,5415000,2020-03-27,소프트웨어융합대학RC행정팀(ERICA),처분,7,확정,자체구입,C354,,1
4320180323809899,하드디스크드라이브,ERICA,2020-07-09,20188000,2020-07-16,시설팀(ERICA),운용,7,확정,자체구입,A351,연구 데이터 저장용,3
4320180323809899,하드디스크드라이브,ERICA,2020-07-09,20188000,2020-07-16,시설팀(ERICA),처분,7,확정,자체구입,A351,연구 데이터 저장용,1
4320180323809899,하드디스크드라이브,ERICA,2020-12-22,15189000,2020-12-26,공학대학RC행정팀(ERICA),운용,7,확정,자체구입,C352,,1
4320180323809899,하드디스크드라이브,ERICA,2020-12-22,15189000,2020-12-26,공학대학RC행정팀(ERICA),처분,7,확정,자체구입,C352,,2
4320180323809899,하드디스크드라이브,ERICA,2022-12-27,5111000,2023-01-03,시설팀(ERICA),운용,7,확정,자체구입,A351,서버 증설용 스토리지,1
4320180323809899,하드디스크드라이브,ERICA,2023-08-18,10898000,2023-08-25,공학대학RC행정팀(ERICA),운용,7,확정,자체구입,C352,연구 데이터 저장용,2
4320180323809899,하드디스크드라이브,ERICA,2023-11-22,15111000,2023-11-25,소프트웨어융합대학RC행정팀(ERICA),운용,7,확정,자체구입,C354,,3
4320180323809899,하드디스크드라이브,ERICA,2024-09-05,15933000,2024-09-09,소프트웨어융합대학RC행정팀(ERICA),운용,7,확정,자체구입,C354,,3
4320180323809899,하드디스크드라이브,ERICA,2024-11-11,16344000,2024-11-16,공학대학RC행정팀(ERICA),운용,7,확정,자체구입,C352,,3
4320180323809899,하드디스크드라이브,ERICA,2025-01-13,10954000,2025-01-20,글로벌문화통상대학RC행정팀(ERICA),운용,7,확정,자체구입,C360,,2
4320180323809899,하드디스크드라이브,서울,2006-02-15,4727000,2006-02-21,자연과학대학RC행정팀(서울),처분,7,확정,자체구입,C192,,1
4320180323809899,하드디스크드라이브,서울,2008-07-06,9316000,2008-07-12,인문과학대학RC행정팀(서울),운용,7,확정,자체구입,C188,,1
4320180323809899,하드디스크드라이브,서울,2008-07-06,9316000,2008-07-12,인문과학대학RC행정팀(서울),처분,7,확정,자체구입,C188,,1
4320180323809899,하드디스크드라이브,서울,2008-08-04,4851000,2008-08-08,공과대학RC행정팀(서울),처분,7,확정,자체구입,C182,,1
4320180323809899,하드디스크드라이브,서울,2014-02-01,4801000,2014-02-08,자연과학대학RC행정팀(서울),운용,7,확정,자체구입,C192,연구 데이터 저장용,1
4320180323809899,하드디스크드라이브,서울,2015-08-02,10444000,2015-08-07,인문과학대학RC행정팀(서울),운용,7,확정,자체구입,C188,서버 증설용 스토리지,1
4320180323809899,하드디스크드라이브,서울,2015-08-02,10444000,2015-08-07,인문과학대학RC행정팀(서울),처분,7,확정,자체구입,C188,서버 증설용 스토리지,1
4320180323809899,하드디스크드라이브,서울,2017-01-21,4948000,2017-01-24,공과대학RC행정팀(서울),운용,7,확정,자체구입,C182,,1
4320180323809899,하드디스크드라이브,서울,2022-09-27,5207000,2022-10-02,자연과학대학RC행정팀(서울),운용,7,확정,자체구입,C192,연구 데이터 저장용,1
4320180323809899,하드디스크드라이브,서울,2023-05-22,10498000,2023-05-25,인문과학대학RC행정팀(서울),운용,7,확정,자체구입,C188,연구 데이터 저장용,2
4320180323809899,하드디스크드라이브,서울,2025-08-01,5428000,2025-08-05,공과대학RC행정팀(서울),운용,7,확정,자체구입,C182,연구 데이터 저장용,1
4321150324343967,노트북컴퓨터,ERICA,2005-01-15,1972000,2005-01-18,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,1
4321150324343967,노트북컴퓨터,ERICA,2005-01-15,1972000,2005-01-18,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,,1
4321150324343967,노트북컴퓨터,ERICA,2005-01-19,994000,2005-01-24,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,1
4321150324343967,노트북컴퓨터,ERICA,2005-01-21,2088000,2005-01-27,학생지원팀(ERICA),운용,6,확정,자체구입,A320,,1
4321150324343967,노트북컴퓨터,ERICA,2005-01-21,2088000,2005-01-27,학생지원팀(ERICA),처분,6,확정,자체구입,A320,,1
4321150324343967,노트북컴퓨터,ERICA,2005-04-19,978000,2005-04-22,소프트웨어융합대학RC행정팀(ERICA),처분,6,확정,자체구입,C354,,1
4321150324343967,노트북컴퓨터,ERICA,2005-05-13,1012000,2005-05-17,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,,1
4321150324343967,노트북컴퓨터,ERICA,2005-08-05,18867000,2005-08-17,공학대학RC행정팀(ERICA),불용,6,확정,자체구입,C352,제2실습실 환경개선 기자재 확충,2
4321150324343967,노트북컴퓨터,ERICA,2005-08-05,18867000,2005-08-17,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,제2실습실 환경개선 기자재 확충,5
4321150324343967,노트북컴퓨터,ERICA,2005-08-05,18867000,2005-08-17,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,제2실습실 환경개선 기자재 확충,12
4321150324343967,노트북컴퓨터,ERICA,2005-08-22,1988000,2005-08-29,시설팀(ERICA),운용,6,확정,자체구입,A351,AI 실습 수업용 노트북,1
4321150324343967,노트북컴퓨터,ERICA,2005-08-22,1988000,2005-08-29,시설팀(ERICA),처분,6,확정,자체구입,A351,AI 실습 수업용 노트북,1
4321150324343967,노트북컴퓨터,ERICA,2005-09-28,12168000,2005-10-10,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,AI센터 환경개선 기자재 확충,6
4321150324343967,노트북컴퓨터,ERICA,2005-09-28,12168000,2005-10-10,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,AI센터 환경개선 기자재 확충,6
4321150324343967,노트북컴퓨터,ERICA,2005-11-21,2928000,2005-11-24,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,2
4321150324343967,노트북컴퓨터,ERICA,2005-11-21,2928000,2005-11-24,소프트웨어융합대학RC행정팀(ERICA),처분,6,확정,자체구입,C354,,1
4321150324343967,노트북컴퓨터,ERICA,2005-12-04,15674000,2005-12-14,학생지원팀(ERICA),운용,6,확정,자체구입,A320,종합설계실 환경개선 기자재 확충,3
4321150324343967,노트북컴퓨터,ERICA,2005-12-04,15674000,2005-12-14,학생지원팀(ERICA),처분,6,확정,자체구입,A320,종합설계실 환경개선 기자재 확충,14
4321150324343967,노트북컴퓨터,ERICA,2005-12-13,2062000,2005-12-18,시설팀(ERICA),불용,6,확정,기증,A351,,1
4321150324343967,노트북컴퓨터,ERICA,2005-12-13,2062000,2005-12-18,시설팀(ERICA),처분,6,확정,기증,A351,,1
4321150324343967,노트북컴퓨터,ERICA,2006-01-04,995000,2006-01-09,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,교수·연구원 업무용,1
4321150324343967,노트북컴퓨터,ERICA,2006-01-11,1994000,2006-01-18,공학대학RC행정팀(ERICA),운용,6,확정,자체구입,C352,,1
4321150324343967,노트북컴퓨터,ERICA,2006-01-11,1994000,2006-01-18,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,,1
4321150324343967,노트북컴퓨터,ERICA,2006-02-10,2967000,2006-02-16,글로벌문화통상대학RC행정팀(ERICA),운용,6,확정,자체구입,C360,,1
4321150324343967,노트북컴퓨터,ERICA,2006-02-10,2967000,2006-02-16,글로벌문화통상대학RC행정팀(ERICA),처분,6,확정,자체구입,C360,,1
4321150324343967,노트북컴퓨터,ERICA,2006-02-10,2967000,2006-02-16,글로벌문화통상대학RC행정팀(ERICA),취득,6,확정,자체구입,C360,,1
4321150324343967,노트북컴퓨터,ERICA,2006-02-15,3171000,2006-02-18,공학대학RC행정팀(ERICA),처분,6,확정,기증,C352,AI 실습 수업용 노트북,3
4321150324343967,노트북컴퓨터,ERICA,2006-03-14,1024000,2006-03-20,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체구입,C354,,1
4321150324343967,노트북컴퓨터,ERICA,2006-03-15,3168000,2006-03-18,공학대학RC행정팀(ERICA),처분,6,확정,자체구입,C352,AI 실습 수업용 노트북,3
4321150324343967,노트북컴퓨터,ERICA,2006-04-05,13090000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),운용,6,확정,자체제작,C354,기초실험실 환경개선 기자재 확충,6
