event_month,actual_count,month,year,trend
2019-04-01,1,4,2019,156
2019-05-01,2,5,2019,157
2019-06-01,3,6,2019,158
2019-07-01,0,7,2019,159
2019-08-01,165,8,2019,160
2019-09-01,8,9,2019,161
2019-10-01,1,10,2019,162
2019-11-01,1,11,2019,163
2019-12-01,111,12,2019,164
2020-01-01,3,1,2020,165
2020-02-01,72,2,2020,166
2020-03-01,7,3,2020,167
2020-04-01,2,4,2020,168
2020-05-01,5,5,2020,169
2020-06-01,2,6,2020,170
2020-07-01,3,7,2020,171
2020-08-01,192,8,2020,172
2020-09-01,9,9,2020,173
2020-10-01,1,10,2020,174
2020-11-01,3,11,2020,175
2020-12-01,112,12,2020,176
2021-01-01,4,1,2021,177
2021-02-01,85,2,2021,178
2021-03-01,8,3,2021,179
2021-04-01,2,4,2021,180
2021-05-01,3,5,2021,181
2021-06-01,4,6,2021,182
2021-07-01,2,7,2021,183
2021-08-01,151,8,2021,184
2021-09-01,7,9,2021,185
2021-10-01,2,10,2021,186
2021-11-01,1,11,2021,187
2021-12-01,133,12,2021,188
2022-01-01,2,1,2022,189
2022-02-01,71,2,2022,190
2022-03-01,2,3,2022,191
2022-04-01,2,4,2022,192
2022-05-01,3,5,2022,193
2022-06-01,1,6,2022,194
2022-07-01,4,7,2022,195
2022-08-01,198,8,2022,196
2022-09-01,11,9,2022,197
2022-10-01,1,10,2022,198
2022-11-01,7,11,2022,199
2022-12-01,151,12,2022,200
2023-01-01,6,1,2023,201
2023-02-01,109,2,2023,202
2023-03-01,13,3,2023,203
2023-04-01,1,4,2023,204
2023-05-01,3,5,2023,205
2023-06-01,6,6,2023,206
2023-07-01,3,7,2023,207
2023-08-01,198,8,2023,208
2023-09-01,12,9,2023,209
2023-10-01,1,10,2023,210
2023-11-01,5,11,2023,211
2023-12-01,178,12,2023,212
2024-01-01,5,1,2024,213
2024-02-01,109,2,2024,214
2024-03-01,9,3,2024,215
2024-04-01,5,4,2024,216
2024-05-01,4,5,2024,217
2024-06-01,1,6,2024,218
2024-07-01,6,7,2024,219
2024-08-01,231,8,2024,220
2024-09-01,10,9,2024,221
2024-10-01,2,10,2024,222
2024-11-01,2,11,2024,223
2024-12-01,193,12,2024,224
2025-01-01,5,1,2025,225
2025-02-01,98,2,2025,226
2025-03-01,11,3,2025,227
2025-04-01,1,4,2025,228
2025-05-01,3,5,2025,229
2025-06-01,5,6,2025,230
2025-07-01,6,7,2025,231
2025-08-01,211,8,2025,232
2025-09-01,7,9,2025,233
2025-10-01,2,10,2025,234
2025-11-01,4,11,2025,235
2025-12-01,150,12,2025,236
2026-01-01,7,1,2026,237
2026-02-01,104,2,2026,238
